time,well,iptg,strain,rbs,temp,OD600,fluor,GFP_high,GFP_low
0.0,B3,0.01875,GFP10,RBS1,37.199999999999996,0.026916670302550003,GFP,2427.4166666666665,15.833333333333332
0.0,B4,0.01875,GFP75,RBS0.125,37.199999999999996,0.02381666998068492,GFP,2285.4166666666665,13.833333333333332
0.0,B6,0.01875,GFP25,RBS2,37.199999999999996,0.024416665236155197,GFP,2111.4166666666665,10.833333333333332
0.0,B7,0.01875,GFP25,RBS0.25,37.199999999999996,0.024816664556662246,GFP,2307.4166666666665,15.833333333333332
0.0,B8,0.01875,GFP10,RBS2,37.199999999999996,0.026116671661535903,GFP,2812.4166666666665,18.833333333333332
0.0,B9,0.01875,GFP10,RBS0.125,37.199999999999996,0.027016671995321914,GFP,1778.4166666666665,10.833333333333332
0.0,B10,0.01875,GFP25,RBS1,37.199999999999996,0.021516668299833938,GFP,2096.4166666666665,12.833333333333332
0.0,C2,0.01875,GFP50,RBS0.125,37.199999999999996,0.03271666417519252,GFP,3638.4166666666665,25.833333333333332
0.0,C3,0.01875,GFP25,RBS0.5,37.199999999999996,0.03241667399803798,GFP,2446.4166666666665,15.833333333333332
0.0,C4,0.01875,GFP50,RBS2,37.199999999999996,0.025616663197676345,GFP,3063.4166666666665,20.833333333333332
0.0,C5,0.01875,GFP25,RBS4,37.199999999999996,0.02371666828791301,GFP,1862.4166666666665,11.833333333333332
0.0,C6,0.01875,GFP75,RBS2,37.199999999999996,0.022716666261355087,GFP,2711.4166666666665,17.833333333333332
0.0,C8,0.01875,GFP75,RBS4,37.199999999999996,0.020816663901011154,GFP,1898.4166666666665,10.833333333333332
0.0,C9,0.01875,GFP25,RBS0.125,37.199999999999996,0.030516671637694046,GFP,2380.4166666666665,14.833333333333332
0.0,C10,0.01875,GFP10,RBS4,37.199999999999996,0.02371666828791301,GFP,1145.4166666666665,7.833333333333333
0.0,C11,0.01875,GFP10,RBS0.5,37.199999999999996,0.024016665915648147,GFP,1721.4166666666665,10.833333333333332
0.0,D2,0.01875,GFP75,RBS0.5,37.199999999999996,0.01251666496197383,GFP,1826.4166666666665,10.833333333333332
0.0,D4,0.01875,GFP50,RBS1,37.199999999999996,0.024016665915648147,GFP,2995.4166666666665,19.833333333333332
0.0,D5,0.01875,GFP50,RBS4,37.199999999999996,0.027416663865248367,GFP,2829.4166666666665,17.833333333333332
0.0,D6,0.01875,GFP50,RBS0.125,37.199999999999996,0.024816664556662246,GFP,3421.4166666666665,21.833333333333332
0.0,D7,0.01875,GFP10,RBS0.125,37.199999999999996,0.04831666002670924,GFP,1572.4166666666665,10.833333333333332
0.0,D8,0.01875,GFP25,RBS4,37.199999999999996,0.02511666963497798,GFP,1971.4166666666665,12.833333333333332
0.0,D9,0.01875,GFP75,RBS0.25,37.199999999999996,0.030316668252150222,GFP,2494.4166666666665,15.833333333333332
0.0,D10,0.01875,GFP10,RBS1,37.199999999999996,0.027116673688093826,GFP,2518.4166666666665,15.833333333333332
0.0,D11,0.01875,GFP75,RBS2,37.199999999999996,0.03571667025486629,GFP,2339.4166666666665,13.833333333333332
0.0,E2,0.01875,GFP10,RBS0.5,37.199999999999996,0.03351666281620662,GFP,1859.4166666666665,12.833333333333332
0.0,E3,0.01875,GFP25,RBS0.125,37.199999999999996,0.031416671971480056,GFP,2412.4166666666665,15.833333333333332
0.0,E5,0.01875,GFP50,RBS4,37.199999999999996,0.0366166705886523,GFP,2591.4166666666665,17.833333333333332
0.0,E6,0.01875,GFP50,RBS0.25,37.199999999999996,0.034816669921080276,GFP,3809.4166666666665,24.833333333333332
0.0,E7,0.01875,GFP25,RBS0.25,37.199999999999996,0.030416669944922134,GFP,2228.4166666666665,15.833333333333332
0.0,E8,0.01875,GFP50,RBS1,37.199999999999996,0.024816664556662246,GFP,3155.4166666666665,20.833333333333332
0.0,E10,0.01875,GFP75,RBS0.25,37.199999999999996,0.023216667274634048,GFP,2506.4166666666665,15.833333333333332
0.0,E11,0.01875,GFP50,RBS2,37.199999999999996,0.022516662875811264,GFP,3155.4166666666665,19.833333333333332
0.0,F2,0.01875,GFP25,RBS0.5,37.199999999999996,0.026216673354307815,GFP,2385.4166666666665,15.833333333333332
0.0,F3,0.01875,GFP25,RBS1,37.199999999999996,0.025316665569941207,GFP,1958.4166666666665,12.833333333333332
0.0,F4,0.01875,GFP10,RBS2,37.199999999999996,0.0293166662255923,GFP,2731.4166666666665,16.833333333333332
0.0,F5,0.01875,GFP50,RBS0.5,37.199999999999996,0.02591666827599208,GFP,3739.4166666666665,24.833333333333332
0.0,F6,0.01875,GFP75,RBS0.125,37.199999999999996,0.023916664222876236,GFP,2190.4166666666665,13.833333333333332
0.0,F7,0.01875,GFP25,RBS2,37.199999999999996,0.02371666828791301,GFP,1995.4166666666665,12.833333333333332
0.0,F11,0.01875,GFP10,RBS0.25,37.199999999999996,0.031216668585936233,GFP,2691.4166666666665,17.833333333333332
0.0,G3,0.01875,GFP75,RBS1,37.199999999999996,0.025716664890448257,GFP,2487.4166666666665,15.833333333333332
0.0,G4,0.01875,GFP10,RBS4,37.199999999999996,0.03571667025486629,GFP,1230.4166666666665,8.833333333333332
0.0,G5,0.01875,GFP50,RBS0.5,37.199999999999996,0.034716668228308364,GFP,3898.4166666666665,24.833333333333332
0.0,G6,0.01875,GFP75,RBS4,37.199999999999996,0.022616664568583175,GFP,1937.4166666666665,12.833333333333332
0.0,G7,0.01875,GFP10,RBS0.25,37.199999999999996,0.03181666384140651,GFP,2560.4166666666665,16.833333333333332
