,gfp_rbs_foldx,codon,charging_rate,ecol,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,TTT_charged_perc,ATA_charged_perc,free_ribosome_perc,cellularProtein_max,cellularProtein_norm
0,0.1,0.1,10.0,0.2,31.0,719.0,6.333333333333333,1570.0,180.0,20.0,99.33333333333333,502.6666666666667,1.0,0.8971428571428571,0.04133333333333333,0.002,503.3333333333333,0.9986754966887418
1,0.1,0.1,10.0,0.4,30.666666666666668,719.3333333333334,5.333333333333333,1370.0,380.0,20.0,99.66666666666667,998.0,0.6666666666666666,0.7828571428571428,0.04088888888888889,0.0013333333333333333,998.0,1.0
2,0.1,0.1,10.0,0.6,31.333333333333332,718.6666666666666,7.0,860.3333333333334,889.6666666666666,20.0,99.33333333333333,1500.3333333333333,0.6666666666666666,0.4916190476190476,0.041777777777777775,0.0013333333333333333,1500.3333333333333,1.0
3,0.1,0.1,10.0,0.7,43.333333333333336,706.6666666666666,10.0,189.33333333333334,1560.6666666666667,20.0,99.33333333333333,2002.6666666666667,1.6666666666666667,0.1081904761904762,0.05777777777777778,0.0033333333333333335,2002.6666666666667,1.0
4,0.1,0.1,10.0,0.8,339.0,411.0,10.333333333333334,77.33333333333333,1672.6666666666667,20.0,98.33333333333333,1993.6666666666667,12.666666666666666,0.04419047619047619,0.452,0.025333333333333333,1993.6666666666667,1.0
5,0.1,0.1,10.0,1.0,750.0,0.0,9.666666666666666,74.33333333333333,1675.6666666666667,20.0,100.0,1500.0,0.0,0.04247619047619047,1.0,0.0,1500.0,1.0
6,0.1,0.1,30.0,0.2,89.0,661.0,12.0,1586.3333333333333,163.66666666666666,20.0,90.66666666666667,2207.6666666666665,28.333333333333332,0.9064761904761904,0.11866666666666667,0.056666666666666664,2207.6666666666665,1.0
7,0.1,0.1,30.0,0.4,80.0,670.0,16.0,1378.6666666666667,371.3333333333333,20.0,99.33333333333333,3007.6666666666665,3.0,0.7878095238095238,0.10666666666666667,0.006,3007.6666666666665,1.0
8,0.1,0.1,30.0,0.6,86.0,664.0,19.333333333333332,843.0,907.0,20.0,97.33333333333333,4577.0,17.333333333333332,0.4817142857142857,0.11466666666666667,0.034666666666666665,4577.0,1.0
9,0.1,0.1,30.0,0.7,154.0,596.0,24.0,346.3333333333333,1403.6666666666667,20.0,98.66666666666667,5643.666666666667,23.0,0.1979047619047619,0.20533333333333334,0.046,5643.666666666667,1.0
10,0.1,0.1,30.0,0.8,361.3333333333333,388.6666666666667,27.666666666666668,215.0,1535.0,19.666666666666668,97.33333333333333,5493.333333333333,19.333333333333332,0.12285714285714286,0.48177777777777775,0.03866666666666666,5493.333333333333,1.0
11,0.1,0.1,30.0,1.0,749.3333333333334,0.6666666666666666,19.666666666666668,198.66666666666666,1551.3333333333333,20.0,98.66666666666667,4482.333333333333,22.0,0.11352380952380951,0.9991111111111112,0.044,4482.333333333333,1.0
12,0.1,0.1,100.0,0.2,240.33333333333334,509.6666666666667,24.666666666666668,1618.6666666666667,131.33333333333334,20.0,96.0,6200.0,36.666666666666664,0.924952380952381,0.3204444444444445,0.07333333333333333,6200.0,1.0
13,0.1,0.1,100.0,0.4,226.33333333333334,523.6666666666666,38.666666666666664,1436.3333333333333,313.6666666666667,20.0,98.0,8102.0,38.666666666666664,0.8207619047619047,0.3017777777777778,0.07733333333333332,8102.0,1.0
14,0.1,0.1,100.0,0.6,290.6666666666667,459.3333333333333,46.666666666666664,1043.6666666666667,706.3333333333334,20.0,96.0,11135.666666666666,60.333333333333336,0.5963809523809525,0.3875555555555556,0.12066666666666667,11135.666666666666,1.0
15,0.1,0.1,100.0,0.7,368.3333333333333,381.6666666666667,55.666666666666664,828.0,922.0,20.0,99.0,12715.0,60.666666666666664,0.47314285714285714,0.4911111111111111,0.12133333333333333,12715.0,1.0
16,0.1,0.1,100.0,0.8,472.3333333333333,277.6666666666667,57.0,696.3333333333334,1053.6666666666667,20.0,98.0,13184.666666666666,66.66666666666667,0.3979047619047619,0.6297777777777778,0.13333333333333333,13184.666666666666,1.0
17,0.1,0.1,100.0,1.0,748.6666666666666,1.3333333333333333,47.0,562.6666666666666,1187.3333333333333,20.0,99.33333333333333,11772.333333333334,74.33333333333333,0.3215238095238095,0.9982222222222221,0.14866666666666667,11772.333333333334,1.0
18,0.1,0.1,300.0,0.2,432.3333333333333,317.6666666666667,52.0,1667.3333333333333,82.66666666666667,20.0,95.33333333333333,11193.666666666666,49.0,0.9527619047619047,0.5764444444444444,0.098,11193.666666666666,1.0
19,0.1,0.1,300.0,0.4,469.0,281.0,60.0,1555.6666666666667,194.33333333333334,20.0,97.66666666666667,13695.666666666666,65.66666666666667,0.888952380952381,0.6253333333333333,0.13133333333333333,13695.666666666666,1.0
20,0.1,0.1,300.0,0.6,517.0,233.0,64.66666666666667,1409.6666666666667,340.3333333333333,20.0,94.33333333333333,16946.0,86.0,0.8055238095238095,0.6893333333333334,0.172,16946.0,1.0
21,0.1,0.1,300.0,0.7,557.0,193.0,83.0,1330.0,420.0,20.0,97.33333333333333,18623.666666666668,99.33333333333333,0.76,0.7426666666666667,0.19866666666666666,18623.666666666668,1.0
22,0.1,0.1,300.0,0.8,623.0,127.0,88.66666666666667,1213.3333333333333,536.6666666666666,20.0,97.33333333333333,19908.0,98.33333333333333,0.6933333333333332,0.8306666666666667,0.19666666666666666,19908.0,1.0
23,0.1,0.1,300.0,1.0,749.3333333333334,0.6666666666666666,80.66666666666667,1075.6666666666667,674.3333333333334,20.0,97.66666666666667,20583.333333333332,112.0,0.6146666666666667,0.9991111111111112,0.224,20583.333333333332,1.0
24,0.1,0.1,1000.0,0.2,634.0,116.0,54.666666666666664,1718.0,32.0,20.0,97.33333333333333,14924.333333333334,71.33333333333333,0.9817142857142858,0.8453333333333334,0.14266666666666666,14924.333333333334,1.0
25,0.1,0.1,1000.0,0.4,647.6666666666666,102.33333333333333,68.66666666666667,1672.3333333333333,77.66666666666667,20.0,96.66666666666667,17268.666666666668,84.33333333333333,0.9556190476190476,0.8635555555555555,0.16866666666666666,17268.666666666668,1.0
26,0.1,0.1,1000.0,0.6,670.3333333333334,79.66666666666667,82.0,1629.3333333333333,120.66666666666667,20.0,98.0,20182.333333333332,105.33333333333333,0.931047619047619,0.8937777777777778,0.21066666666666667,20182.333333333332,1.0
27,0.1,0.1,1000.0,0.7,687.0,63.0,83.33333333333333,1603.3333333333333,146.66666666666666,20.0,95.33333333333333,21838.333333333332,119.33333333333333,0.9161904761904761,0.916,0.23866666666666667,21838.333333333332,1.0
28,0.1,0.1,1000.0,0.8,700.6666666666666,49.333333333333336,90.0,1574.6666666666667,175.33333333333334,20.0,99.0,23581.0,119.66666666666667,0.8998095238095238,0.9342222222222222,0.23933333333333334,23581.0,1.0
29,0.1,0.1,1000.0,1.0,749.0,1.0,114.0,1486.6666666666667,263.3333333333333,20.0,98.33333333333333,26742.0,138.66666666666666,0.8495238095238096,0.9986666666666667,0.2773333333333333,26742.0,1.0
30,0.1,0.1,3000.0,0.2,708.6666666666666,41.333333333333336,64.66666666666667,1739.3333333333333,10.666666666666666,20.0,98.33333333333333,16370.666666666666,83.66666666666667,0.9939047619047618,0.9448888888888889,0.16733333333333333,16370.666666666666,1.0
31,0.1,0.1,3000.0,0.4,708.3333333333334,41.666666666666664,78.0,1727.0,23.0,20.0,97.0,18544.0,103.66666666666667,0.9868571428571429,0.9444444444444445,0.20733333333333334,18544.0,1.0
32,0.1,0.1,3000.0,0.6,723.3333333333334,26.666666666666668,90.33333333333333,1707.3333333333333,42.666666666666664,20.0,96.33333333333333,21282.0,110.33333333333333,0.9756190476190476,0.9644444444444445,0.22066666666666665,21282.0,1.0
33,0.1,0.1,3000.0,0.7,721.3333333333334,28.666666666666668,93.0,1695.3333333333333,54.666666666666664,20.0,97.0,22932.333333333332,114.0,0.9687619047619047,0.9617777777777778,0.228,22932.333333333332,1.0
34,0.1,0.1,3000.0,0.8,733.3333333333334,16.666666666666668,105.33333333333333,1687.3333333333333,62.666666666666664,20.0,97.66666666666667,24751.333333333332,119.66666666666667,0.9641904761904762,0.9777777777777779,0.23933333333333334,24751.333333333332,1.0
35,0.1,0.1,3000.0,1.0,750.0,0.0,121.0,1663.3333333333333,86.66666666666667,20.0,97.33333333333333,28943.333333333332,143.0,0.9504761904761905,1.0,0.286,28943.333333333332,1.0
36,0.1,0.1,10000.0,0.2,736.3333333333334,13.666666666666666,71.66666666666667,1745.3333333333333,4.666666666666667,20.0,96.33333333333333,16904.0,94.66666666666667,0.9973333333333333,0.9817777777777779,0.18933333333333335,16904.0,1.0
37,0.1,0.1,10000.0,0.4,737.6666666666666,12.333333333333334,80.33333333333333,1745.6666666666667,4.333333333333333,20.0,95.66666666666667,18995.666666666668,98.33333333333333,0.9975238095238096,0.9835555555555555,0.19666666666666666,18995.666666666668,1.0
38,0.1,0.1,10000.0,0.6,742.6666666666666,7.333333333333333,90.66666666666667,1733.6666666666667,16.333333333333332,20.0,97.0,21662.333333333332,112.0,0.9906666666666667,0.9902222222222222,0.224,21662.333333333332,1.0
39,0.1,0.1,10000.0,0.7,738.6666666666666,11.333333333333334,97.0,1735.0,15.0,20.0,98.33333333333333,23282.0,115.0,0.9914285714285714,0.9848888888888888,0.23,23282.0,1.0
40,0.1,0.1,10000.0,0.8,746.0,4.0,100.33333333333333,1731.0,19.0,20.0,99.0,25200.333333333332,128.33333333333334,0.9891428571428571,0.9946666666666667,0.2566666666666667,25200.333333333332,1.0
41,0.1,0.1,10000.0,1.0,750.0,0.0,116.66666666666667,1721.3333333333333,28.666666666666668,20.0,98.0,29803.0,150.0,0.9836190476190476,1.0,0.3,29803.0,1.0
42,0.1,0.3,10.0,0.2,25.333333333333332,724.6666666666666,6.0,1553.3333333333333,196.66666666666666,20.0,99.66666666666667,501.0,0.0,0.8876190476190475,0.033777777777777775,0.0,503.0,0.9960238568588469
43,0.1,0.3,10.0,0.4,27.666666666666668,722.3333333333334,9.333333333333334,1379.6666666666667,370.3333333333333,20.0,100.0,998.3333333333334,0.3333333333333333,0.7883809523809524,0.03688888888888889,0.0006666666666666666,998.3333333333334,1.0
44,0.1,0.3,10.0,0.6,35.333333333333336,714.6666666666666,8.666666666666666,857.3333333333334,892.6666666666666,20.0,100.0,1500.3333333333333,1.0,0.48990476190476195,0.04711111111111112,0.002,1500.3333333333333,1.0
45,0.1,0.3,10.0,0.7,43.333333333333336,706.6666666666666,7.0,191.66666666666666,1558.3333333333333,20.0,99.33333333333333,2004.3333333333333,1.3333333333333333,0.10952380952380952,0.05777777777777778,0.0026666666666666666,2004.3333333333333,1.0
46,0.1,0.3,10.0,0.8,333.6666666666667,416.3333333333333,12.0,62.666666666666664,1687.3333333333333,20.0,96.33333333333333,1991.3333333333333,10.0,0.035809523809523805,0.4448888888888889,0.02,1991.3333333333333,1.0
47,0.1,0.3,10.0,1.0,750.0,0.0,11.333333333333334,63.333333333333336,1686.6666666666667,20.0,100.0,1500.0,0.0,0.03619047619047619,1.0,0.0,1500.0,1.0
48,0.1,0.3,30.0,0.2,96.0,654.0,13.0,1593.3333333333333,156.66666666666666,20.0,90.0,2216.6666666666665,32.333333333333336,0.9104761904761904,0.128,0.06466666666666668,2216.6666666666665,1.0
49,0.1,0.3,30.0,0.4,79.66666666666667,670.3333333333334,13.0,1379.0,371.0,20.0,98.66666666666667,3010.6666666666665,4.0,0.788,0.10622222222222223,0.008,3010.6666666666665,1.0
50,0.1,0.3,30.0,0.6,94.66666666666667,655.3333333333334,19.333333333333332,796.0,954.0,20.0,95.33333333333333,4578.0,17.0,0.45485714285714285,0.12622222222222224,0.034,4578.0,1.0
51,0.1,0.3,30.0,0.7,140.0,610.0,25.333333333333332,367.0,1383.0,20.0,97.66666666666667,5641.333333333333,25.666666666666668,0.20971428571428571,0.18666666666666668,0.051333333333333335,5641.333333333333,1.0
52,0.1,0.3,30.0,0.8,374.0,376.0,25.0,213.33333333333334,1536.6666666666667,20.0,98.33333333333333,5490.333333333333,19.666666666666668,0.1219047619047619,0.49866666666666665,0.03933333333333334,5490.333333333333,1.0
53,0.1,0.3,30.0,1.0,749.0,1.0,23.0,198.0,1552.0,20.0,96.0,4483.666666666667,19.333333333333332,0.11314285714285714,0.9986666666666667,0.03866666666666666,4483.666666666667,1.0
54,0.1,0.3,100.0,0.2,233.0,517.0,28.333333333333332,1610.6666666666667,139.33333333333334,20.0,95.33333333333333,6207.333333333333,36.666666666666664,0.9203809523809524,0.31066666666666665,0.07333333333333333,6207.333333333333,1.0
55,0.1,0.3,100.0,0.4,240.33333333333334,509.6666666666667,41.666666666666664,1421.3333333333333,328.6666666666667,20.0,98.0,8104.666666666667,42.0,0.8121904761904761,0.3204444444444445,0.084,8104.666666666667,1.0
56,0.1,0.3,100.0,0.6,300.6666666666667,449.3333333333333,49.666666666666664,1044.3333333333333,705.6666666666666,20.0,98.0,11138.666666666666,55.0,0.5967619047619047,0.4008888888888889,0.11,11138.666666666666,1.0
57,0.1,0.3,100.0,0.7,367.0,383.0,59.0,813.0,937.0,20.0,98.66666666666667,12711.666666666666,61.666666666666664,0.4645714285714286,0.48933333333333334,0.12333333333333332,12711.666666666666,1.0
58,0.1,0.3,100.0,0.8,476.0,274.0,53.666666666666664,645.0,1105.0,20.0,97.66666666666667,13186.0,63.333333333333336,0.36857142857142855,0.6346666666666667,0.12666666666666668,13186.0,1.0
59,0.1,0.3,100.0,1.0,748.3333333333334,1.6666666666666667,51.333333333333336,538.3333333333334,1211.6666666666667,20.0,98.0,11768.666666666666,69.33333333333333,0.3076190476190476,0.9977777777777779,0.13866666666666666,11768.666666666666,1.0
60,0.1,0.3,300.0,0.2,440.0,310.0,43.666666666666664,1677.0,73.0,20.0,96.33333333333333,11202.333333333334,63.333333333333336,0.9582857142857143,0.5866666666666667,0.12666666666666668,11202.333333333334,1.0
61,0.1,0.3,300.0,0.4,475.0,275.0,61.0,1568.6666666666667,181.33333333333334,20.0,97.0,13703.666666666666,69.33333333333333,0.8963809523809524,0.6333333333333333,0.13866666666666666,13703.666666666666,1.0
62,0.1,0.3,300.0,0.6,528.6666666666666,221.33333333333334,70.0,1404.0,346.0,20.0,96.66666666666667,16953.0,92.33333333333333,0.8022857142857143,0.7048888888888888,0.18466666666666665,16953.0,1.0
63,0.1,0.3,300.0,0.7,556.3333333333334,193.66666666666666,82.66666666666667,1327.0,423.0,20.0,96.33333333333333,18622.666666666668,106.0,0.7582857142857143,0.7417777777777779,0.212,18622.666666666668,1.0
64,0.1,0.3,300.0,0.8,617.3333333333334,132.66666666666666,83.33333333333333,1228.0,522.0,20.0,98.33333333333333,19905.666666666668,100.66666666666667,0.7017142857142857,0.8231111111111111,0.20133333333333334,19905.666666666668,1.0
65,0.1,0.3,300.0,1.0,750.0,0.0,82.33333333333333,1074.3333333333333,675.6666666666666,20.0,97.66666666666667,20573.666666666668,100.0,0.6139047619047618,1.0,0.2,20573.666666666668,1.0
66,0.1,0.3,1000.0,0.2,627.6666666666666,122.33333333333333,60.666666666666664,1721.6666666666667,28.333333333333332,20.0,96.66666666666667,14933.333333333334,74.0,0.9838095238095238,0.8368888888888888,0.148,14933.333333333334,1.0
67,0.1,0.3,1000.0,0.4,639.6666666666666,110.33333333333333,74.33333333333333,1682.0,68.0,20.0,95.66666666666667,17286.0,89.0,0.9611428571428572,0.8528888888888888,0.178,17286.0,1.0
68,0.1,0.3,1000.0,0.6,663.0,87.0,81.0,1627.0,123.0,20.0,96.0,20184.333333333332,106.66666666666667,0.9297142857142857,0.884,0.21333333333333335,20184.333333333332,1.0
69,0.1,0.3,1000.0,0.7,686.3333333333334,63.666666666666664,87.33333333333333,1596.0,154.0,20.0,97.33333333333333,21855.0,111.33333333333333,0.912,0.9151111111111112,0.22266666666666665,21855.0,1.0
70,0.1,0.3,1000.0,0.8,704.3333333333334,45.666666666666664,94.33333333333333,1556.6666666666667,193.33333333333334,20.0,97.66666666666667,23531.0,120.33333333333333,0.8895238095238096,0.9391111111111111,0.24066666666666667,23531.0,1.0
71,0.1,0.3,1000.0,1.0,750.0,0.0,110.66666666666667,1490.6666666666667,259.3333333333333,20.0,98.66666666666667,26727.666666666668,142.0,0.8518095238095239,1.0,0.284,26727.666666666668,1.0
72,0.1,0.3,3000.0,0.2,711.6666666666666,38.333333333333336,73.33333333333333,1739.6666666666667,10.333333333333334,20.0,98.0,16360.666666666666,88.66666666666667,0.9940952380952381,0.9488888888888889,0.17733333333333334,16360.666666666666,1.0
73,0.1,0.3,3000.0,0.4,713.3333333333334,36.666666666666664,82.0,1725.3333333333333,24.666666666666668,20.0,97.0,18528.666666666668,96.33333333333333,0.9859047619047618,0.9511111111111111,0.19266666666666665,18528.666666666668,1.0
74,0.1,0.3,3000.0,0.6,719.3333333333334,30.666666666666668,83.33333333333333,1705.0,45.0,20.0,96.33333333333333,21273.666666666668,113.66666666666667,0.9742857142857143,0.9591111111111111,0.22733333333333333,21273.666666666668,1.0
75,0.1,0.3,3000.0,0.7,723.6666666666666,26.333333333333332,96.33333333333333,1695.0,55.0,20.0,98.0,22921.333333333332,117.66666666666667,0.9685714285714285,0.9648888888888888,0.23533333333333334,22921.333333333332,1.0
76,0.1,0.3,3000.0,0.8,735.0,15.0,96.33333333333333,1676.0,74.0,20.0,97.33333333333333,24724.333333333332,113.33333333333333,0.9577142857142857,0.98,0.22666666666666666,24724.333333333332,1.0
77,0.1,0.3,3000.0,1.0,750.0,0.0,124.0,1654.0,96.0,20.0,99.0,29012.666666666668,137.66666666666666,0.9451428571428572,1.0,0.2753333333333333,29012.666666666668,1.0
78,0.1,0.3,10000.0,0.2,739.0,11.0,67.66666666666667,1746.6666666666667,3.3333333333333335,20.0,97.0,16932.666666666668,83.66666666666667,0.9980952380952381,0.9853333333333333,0.16733333333333333,16932.666666666668,1.0
79,0.1,0.3,10000.0,0.4,739.0,11.0,80.66666666666667,1743.0,7.0,20.0,96.0,19008.666666666668,97.33333333333333,0.996,0.9853333333333333,0.19466666666666665,19008.666666666668,1.0
80,0.1,0.3,10000.0,0.6,739.3333333333334,10.666666666666666,93.0,1739.3333333333333,10.666666666666666,20.0,98.0,21659.0,111.0,0.9939047619047618,0.9857777777777779,0.222,21659.0,1.0
81,0.1,0.3,10000.0,0.7,741.0,9.0,90.66666666666667,1731.6666666666667,18.333333333333332,20.0,97.66666666666667,23311.0,121.33333333333333,0.9895238095238096,0.988,0.24266666666666667,23311.0,1.0
82,0.1,0.3,10000.0,0.8,745.0,5.0,96.66666666666667,1731.6666666666667,18.333333333333332,20.0,98.33333333333333,25231.666666666668,124.66666666666667,0.9895238095238096,0.9933333333333333,0.24933333333333335,25231.666666666668,1.0
83,0.1,0.3,10000.0,1.0,750.0,0.0,109.66666666666667,1719.0,31.0,19.666666666666668,98.0,29780.333333333332,153.66666666666666,0.9822857142857143,1.0,0.3073333333333333,29780.333333333332,1.0
84,0.1,0.5,10.0,0.2,28.0,722.0,7.0,1559.3333333333333,190.66666666666666,20.0,99.33333333333333,500.6666666666667,0.0,0.891047619047619,0.037333333333333336,0.0,502.3333333333333,0.9966821499668216
85,0.1,0.5,10.0,0.4,33.0,717.0,7.666666666666667,1370.0,380.0,20.0,100.0,999.6666666666666,0.0,0.7828571428571428,0.044,0.0,999.6666666666666,1.0
86,0.1,0.5,10.0,0.6,33.0,717.0,8.333333333333334,870.6666666666666,879.3333333333334,20.0,99.66666666666667,1500.3333333333333,0.3333333333333333,0.4975238095238095,0.044,0.0006666666666666666,1500.3333333333333,1.0
87,0.1,0.5,10.0,0.7,52.0,698.0,8.666666666666666,217.66666666666666,1532.3333333333333,20.0,99.66666666666667,2004.3333333333333,1.6666666666666667,0.12438095238095237,0.06933333333333333,0.0033333333333333335,2004.3333333333333,1.0
88,0.1,0.5,10.0,0.8,345.0,405.0,13.666666666666666,69.0,1681.0,20.0,97.0,1986.6666666666667,8.333333333333334,0.03942857142857143,0.46,0.016666666666666666,1986.6666666666667,1.0
89,0.1,0.5,10.0,1.0,750.0,0.0,10.666666666666666,64.0,1686.0,20.0,100.0,1500.0,0.6666666666666666,0.036571428571428574,1.0,0.0013333333333333333,1500.0,1.0
90,0.1,0.5,30.0,0.2,79.33333333333333,670.6666666666666,9.0,1568.0,182.0,20.0,92.0,2217.0,35.666666666666664,0.896,0.10577777777777778,0.07133333333333333,2217.0,1.0
91,0.1,0.5,30.0,0.4,85.66666666666667,664.3333333333334,17.666666666666668,1377.3333333333333,372.6666666666667,20.0,99.66666666666667,3008.0,3.0,0.787047619047619,0.11422222222222222,0.006,3008.0,1.0
92,0.1,0.5,30.0,0.6,100.0,650.0,22.333333333333332,759.3333333333334,990.6666666666666,20.0,98.0,4582.333333333333,18.666666666666668,0.4339047619047619,0.13333333333333333,0.037333333333333336,4582.333333333333,1.0
93,0.1,0.5,30.0,0.7,157.66666666666666,592.3333333333334,26.0,354.0,1396.0,20.0,96.0,5641.666666666667,23.0,0.2022857142857143,0.2102222222222222,0.046,5641.666666666667,1.0
94,0.1,0.5,30.0,0.8,373.3333333333333,376.6666666666667,23.0,219.33333333333334,1530.6666666666667,20.0,97.33333333333333,5491.0,17.666666666666668,0.12533333333333335,0.49777777777777776,0.035333333333333335,5491.0,1.0
95,0.1,0.5,30.0,1.0,750.0,0.0,20.0,196.33333333333334,1553.6666666666667,20.0,97.66666666666667,4485.0,21.0,0.1121904761904762,1.0,0.042,4485.0,1.0
96,0.1,0.5,100.0,0.2,233.33333333333334,516.6666666666666,27.0,1616.0,134.0,20.0,96.33333333333333,6208.333333333333,40.666666666666664,0.9234285714285714,0.3111111111111111,0.08133333333333333,6208.333333333333,1.0
97,0.1,0.5,100.0,0.4,255.66666666666666,494.3333333333333,35.666666666666664,1409.0,341.0,20.0,96.33333333333333,8109.666666666667,45.333333333333336,0.8051428571428572,0.34088888888888885,0.09066666666666667,8109.666666666667,1.0
98,0.1,0.5,100.0,0.6,292.6666666666667,457.3333333333333,50.666666666666664,1057.0,693.0,20.0,97.66666666666667,11132.0,56.333333333333336,0.604,0.39022222222222225,0.11266666666666666,11132.0,1.0
99,0.1,0.5,100.0,0.7,367.6666666666667,382.3333333333333,52.0,835.6666666666666,914.3333333333334,20.0,98.66666666666667,12726.333333333334,69.0,0.4775238095238095,0.4902222222222222,0.138,12726.333333333334,1.0
100,0.1,0.5,100.0,0.8,487.3333333333333,262.6666666666667,60.666666666666664,686.0,1064.0,20.0,97.66666666666667,13184.666666666666,66.33333333333333,0.392,0.6497777777777778,0.13266666666666665,13184.666666666666,1.0
101,0.1,0.5,100.0,1.0,750.0,0.0,55.666666666666664,535.3333333333334,1214.6666666666667,20.0,97.0,11766.0,66.33333333333333,0.3059047619047619,1.0,0.13266666666666665,11766.0,1.0
102,0.1,0.5,300.0,0.2,448.0,302.0,50.0,1673.0,77.0,20.0,97.0,11209.666666666666,54.666666666666664,0.956,0.5973333333333334,0.10933333333333332,11209.666666666666,1.0
