,gfp_rbs_foldx,codon,charging_rate,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,cellularProtein_max,cellularProtein_norm
0,0.1,0.1,50.0,0.04088888888888889,719.3333333333334,17.666666666666668,0.3847619047619048,1076.6666666666667,10.0,96.0,17786.666666666668,0.082,17786.666666666668,1.0
1,0.1,0.1,100.0,0.07511111111111111,693.6666666666666,33.333333333333336,0.4097142857142857,1033.0,10.0,96.0,34101.666666666664,0.17666666666666667,34101.666666666664,1.0
2,0.1,0.1,250.0,0.2462222222222222,565.3333333333334,63.333333333333336,0.5245714285714286,832.0,10.0,97.0,69845.0,0.356,69845.0,1.0
3,0.1,0.1,500.0,0.4648888888888889,401.3333333333333,92.33333333333333,0.6601904761904761,594.6666666666666,10.0,98.66666666666667,96559.0,0.456,96559.0,1.0
4,0.1,0.1,1000.0,0.7231111111111111,207.66666666666666,111.0,0.8228571428571428,310.0,10.0,99.66666666666667,112472.0,0.5826666666666667,112472.0,1.0
5,0.1,0.1,5000.0,0.9293333333333333,53.0,121.0,0.9579047619047618,73.66666666666667,10.0,99.33333333333333,124654.33333333333,0.612,124654.33333333333,1.0
6,0.1,0.3,50.0,0.034666666666666665,724.0,19.0,0.4015238095238095,1047.3333333333333,10.0,95.66666666666667,17787.333333333332,0.084,17787.333333333332,1.0
7,0.1,0.3,100.0,0.09377777777777777,679.6666666666666,35.0,0.42742857142857144,1002.0,10.0,96.33333333333333,34103.0,0.19666666666666666,34103.0,1.0
8,0.1,0.3,250.0,0.24488888888888888,566.3333333333334,66.66666666666667,0.5152380952380952,848.3333333333334,10.0,98.33333333333333,69853.66666666667,0.33466666666666667,69853.66666666667,1.0
9,0.1,0.3,500.0,0.508888888888889,368.3333333333333,100.0,0.6752380952380953,568.3333333333334,10.0,99.33333333333333,96413.33333333333,0.4953333333333333,96503.66666666667,0.9990639388486101
10,0.1,0.3,1000.0,0.6924444444444445,230.66666666666666,107.33333333333333,0.8219047619047619,311.6666666666667,10.0,97.33333333333333,112374.66666666667,0.5586666666666666,112374.66666666667,1.0
11,0.1,0.3,5000.0,0.9382222222222222,46.333333333333336,121.66666666666667,0.9601904761904761,69.66666666666667,10.0,99.66666666666667,124819.66666666667,0.6273333333333334,124819.66666666667,1.0
12,0.1,0.5,50.0,0.04844444444444445,713.6666666666666,18.666666666666668,0.37961904761904763,1085.6666666666667,10.0,96.33333333333333,17791.0,0.08266666666666667,17791.0,1.0
13,0.1,0.5,100.0,0.084,687.0,32.333333333333336,0.40361904761904766,1043.6666666666667,10.0,96.0,34106.0,0.18,34106.0,1.0
14,0.1,0.5,250.0,0.24488888888888888,566.3333333333334,68.0,0.524952380952381,831.3333333333334,10.0,97.0,69857.66666666667,0.358,69857.66666666667,1.0
15,0.1,0.5,500.0,0.49377777777777776,379.6666666666667,100.33333333333333,0.6752380952380953,568.3333333333334,10.0,97.33333333333333,96524.66666666667,0.4766666666666667,96524.66666666667,1.0
16,0.1,0.5,1000.0,0.684,237.0,115.66666666666667,0.8020952380952381,346.3333333333333,10.0,98.66666666666667,112522.33333333333,0.556,112522.33333333333,1.0
17,0.1,0.5,5000.0,0.9311111111111111,51.666666666666664,127.0,0.959047619047619,71.66666666666667,10.0,99.33333333333333,124781.66666666667,0.6073333333333334,124781.66666666667,1.0
18,0.1,0.7,50.0,0.033777777777777775,724.6666666666666,17.333333333333332,0.39885714285714285,1052.0,10.0,93.33333333333333,17795.333333333332,0.08133333333333333,17795.333333333332,1.0
