,gfp_copy,codon,bind_rate,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,cellularProtein_max,cellularProtein_norm
0,1,0.1,1000.0,738.0,12.0,1.0,1731.6666666666667,18.333333333333332,1.0,100.0,1057.3333333333333,497.3333333333333,1057.3333333333333,1.0
1,1,0.1,3000.0,713.6666666666666,36.333333333333336,1.0,1700.0,50.0,1.0,100.0,2986.0,491.0,3040.6666666666665,0.982021486516115
2,1,0.1,10000.0,624.3333333333334,125.66666666666667,1.5,1570.3333333333333,179.66666666666666,1.0,98.66666666666667,9653.333333333334,467.3333333333333,9653.333333333334,1.0
3,1,0.1,30000.0,434.0,316.0,3.5,1292.0,458.0,1.0,97.66666666666667,23802.666666666668,394.3333333333333,23802.666666666668,1.0
4,1,0.1,100000.0,233.33333333333334,516.6666666666666,3.6666666666666665,964.3333333333334,785.6666666666666,1.0,98.66666666666667,38721.666666666664,188.0,38727.666666666664,0.9998450719984852
5,1,0.1,300000.0,169.66666666666666,580.3333333333334,4.0,895.6666666666666,854.3333333333334,1.0,94.66666666666667,42859.0,71.33333333333333,42859.0,1.0
6,1,0.3,1000.0,738.6666666666666,11.333333333333334,1.0,1732.3333333333333,17.666666666666668,1.0,100.0,1057.3333333333333,497.3333333333333,1057.3333333333333,1.0
7,1,0.3,3000.0,702.0,48.0,2.0,1682.0,68.0,1.0,99.66666666666667,2984.6666666666665,488.3333333333333,3065.6666666666665,0.9735783407632924
8,1,0.3,10000.0,633.0,117.0,1.0,1581.3333333333333,168.66666666666666,1.0,99.33333333333333,9679.0,469.6666666666667,9679.0,1.0
9,1,0.3,30000.0,454.6666666666667,295.3333333333333,3.5,1302.3333333333333,447.6666666666667,1.0,98.33333333333333,23751.0,394.3333333333333,23751.0,1.0
10,1,0.3,100000.0,222.0,528.0,4.666666666666667,934.3333333333334,815.6666666666666,1.0,99.33333333333333,38725.666666666664,188.0,38726.0,0.9999913925183769
11,1,0.3,300000.0,177.33333333333334,572.6666666666666,3.3333333333333335,886.6666666666666,863.3333333333334,1.0,97.0,42851.0,74.0,42851.0,1.0
12,1,0.5,1000.0,737.3333333333334,12.666666666666666,1.0,1730.3333333333333,19.666666666666668,1.0,100.0,1057.3333333333333,497.3333333333333,1057.3333333333333,1.0
13,1,0.5,3000.0,710.0,40.0,1.0,1694.3333333333333,55.666666666666664,1.0,100.0,3008.0,490.3333333333333,3057.6666666666665,0.9837566772048404
14,1,0.5,10000.0,628.6666666666666,121.33333333333333,2.0,1581.6666666666667,168.33333333333334,1.0,99.0,9624.666666666666,470.3333333333333,9624.666666666666,1.0
15,1,0.5,30000.0,444.3333333333333,305.6666666666667,2.0,1296.6666666666667,453.3333333333333,1.0,98.66666666666667,23736.666666666668,393.6666666666667,23751.0,0.999396516637896
16,1,0.5,100000.0,227.0,523.0,3.6666666666666665,970.3333333333334,779.6666666666666,1.0,96.0,38739.0,190.0,38761.0,0.9994324191842315
17,1,0.5,300000.0,180.33333333333334,569.6666666666666,2.6666666666666665,900.0,850.0,1.0,95.66666666666667,42853.333333333336,66.66666666666667,42853.333333333336,1.0
18,1,0.7,1000.0,733.6666666666666,16.333333333333332,1.0,1726.0,24.0,1.0,100.0,1058.3333333333333,496.3333333333333,1058.3333333333333,1.0
19,1,0.7,3000.0,706.3333333333334,43.666666666666664,1.0,1687.0,63.0,1.0,100.0,2987.0,489.3333333333333,3082.3333333333335,0.969071050070293
20,1,0.7,10000.0,628.3333333333334,121.66666666666667,2.0,1578.6666666666667,171.33333333333334,1.0,99.33333333333333,9628.0,470.6666666666667,9628.0,1.0
