,gfp_rbs_foldx,codon,charging_rate,speed,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,TTT_charged_perc,ATA_charged_perc,free_ribosome_perc,cellularProtein_max,cellularProtein_norm
0,0.1,0.1,10.0,0.5,39.333333333333336,710.6666666666666,4.666666666666667,186.66666666666666,1563.3333333333333,10.0,100.0,2000.3333333333333,1.0,0.10666666666666666,0.052444444444444446,0.002,2002.0,0.9991674991674991
1,0.1,0.1,10.0,1.0,17.333333333333332,732.6666666666666,4.666666666666667,206.0,1544.0,10.0,97.33333333333333,2040.0,6.333333333333333,0.11771428571428572,0.02311111111111111,0.012666666666666666,2043.6666666666667,0.9982058391779481
2,0.1,0.1,10.0,2.0,10.666666666666666,739.3333333333334,3.3333333333333335,200.66666666666666,1549.3333333333333,10.0,98.0,2078.3333333333335,7.333333333333333,0.11466666666666667,0.014222222222222221,0.014666666666666666,2078.3333333333335,1.0
3,0.1,0.1,10.0,4.0,4.333333333333333,745.6666666666666,3.0,128.0,1622.0,10.0,99.0,2095.3333333333335,6.666666666666667,0.07314285714285715,0.0057777777777777775,0.013333333333333334,2098.0,0.9987289482046394
4,0.1,0.1,10.0,8.0,1.0,749.0,3.6666666666666665,97.66666666666667,1652.3333333333333,10.0,99.0,2122.3333333333335,12.666666666666666,0.05580952380952381,0.0013333333333333333,0.025333333333333333,2122.3333333333335,1.0
5,0.1,0.1,30.0,0.5,141.33333333333334,608.6666666666666,7.666666666666667,396.3333333333333,1353.6666666666667,10.0,95.66666666666667,5649.666666666667,24.333333333333332,0.22647619047619047,0.18844444444444447,0.048666666666666664,5649.666666666667,1.0
6,0.1,0.1,30.0,1.0,97.0,653.0,6.666666666666667,176.66666666666666,1573.3333333333333,10.0,97.0,6334.0,33.666666666666664,0.10095238095238095,0.12933333333333333,0.06733333333333333,6334.0,1.0
7,0.1,0.1,30.0,2.0,39.666666666666664,710.3333333333334,8.0,140.66666666666666,1609.3333333333333,10.0,98.33333333333333,6738.0,31.333333333333332,0.08038095238095237,0.05288888888888889,0.06266666666666666,6738.0,1.0
8,0.1,0.1,30.0,4.0,24.666666666666668,725.3333333333334,8.0,61.333333333333336,1688.6666666666667,10.0,97.33333333333333,6959.333333333333,39.666666666666664,0.03504761904761905,0.03288888888888889,0.07933333333333333,6959.333333333333,1.0
9,0.1,0.1,30.0,8.0,8.333333333333334,741.6666666666666,7.0,35.333333333333336,1714.6666666666667,10.0,96.0,7073.333333333333,36.0,0.020190476190476193,0.011111111111111112,0.072,7073.333333333333,1.0
10,0.1,0.1,100.0,0.5,356.3333333333333,393.6666666666667,12.666666666666666,829.3333333333334,920.6666666666666,10.0,97.66666666666667,12727.666666666666,62.0,0.47390476190476194,0.4751111111111111,0.124,12727.666666666666,1.0
11,0.1,0.1,100.0,1.0,262.3333333333333,487.6666666666667,18.666666666666668,574.0,1176.0,9.666666666666666,96.66666666666667,16604.666666666668,82.33333333333333,0.328,0.34977777777777774,0.16466666666666666,16604.666666666668,1.0
12,0.1,0.1,100.0,2.0,146.66666666666666,603.3333333333334,19.0,343.0,1407.0,10.0,97.66666666666667,19731.666666666668,92.33333333333333,0.196,0.19555555555555554,0.18466666666666665,19731.666666666668,1.0
13,0.1,0.1,100.0,4.0,90.33333333333333,659.6666666666666,22.0,200.33333333333334,1549.6666666666667,10.0,98.66666666666667,21901.666666666668,124.0,0.11447619047619048,0.12044444444444444,0.248,21901.666666666668,1.0
14,0.1,0.1,100.0,8.0,47.0,703.0,22.666666666666668,84.66666666666667,1665.3333333333333,10.0,97.66666666666667,23200.0,111.66666666666667,0.048380952380952386,0.06266666666666666,0.22333333333333336,23200.0,1.0
15,0.1,0.1,300.0,0.5,554.0,196.0,17.0,1321.0,429.0,10.0,98.0,18626.0,99.0,0.7548571428571429,0.7386666666666667,0.198,18630.0,0.9997852925389157
16,0.1,0.1,300.0,1.0,479.0,271.0,29.333333333333332,1100.6666666666667,649.3333333333334,10.0,98.0,27840.0,141.33333333333334,0.628952380952381,0.6386666666666667,0.2826666666666667,27843.333333333332,0.9998802825332216
17,0.1,0.1,300.0,2.0,372.6666666666667,377.3333333333333,35.333333333333336,870.6666666666666,879.3333333333334,10.0,97.66666666666667,37918.0,193.33333333333334,0.4975238095238095,0.49688888888888894,0.38666666666666666,37932.666666666664,0.9996133499710013
18,0.1,0.1,300.0,4.0,270.6666666666667,479.3333333333333,46.0,667.3333333333334,1082.6666666666667,10.0,98.66666666666667,47618.666666666664,245.66666666666666,0.38133333333333336,0.3608888888888889,0.4913333333333333,47618.666666666664,1.0
19,0.1,0.1,300.0,8.0,191.0,559.0,43.0,467.6666666666667,1282.3333333333333,10.0,100.0,55968.666666666664,277.3333333333333,0.2672380952380953,0.25466666666666665,0.5546666666666666,55968.666666666664,1.0
20,0.1,0.1,1000.0,0.5,678.3333333333334,71.66666666666667,23.333333333333332,1609.3333333333333,140.66666666666666,10.0,98.33333333333333,21893.666666666668,115.0,0.9196190476190476,0.9044444444444445,0.23,21893.666666666668,1.0
21,0.1,0.1,1000.0,1.0,647.0,103.0,35.666666666666664,1505.3333333333333,244.66666666666666,10.0,97.0,34818.666666666664,170.0,0.8601904761904762,0.8626666666666667,0.34,34818.666666666664,1.0
22,0.1,0.1,1000.0,2.0,605.3333333333334,144.66666666666666,48.0,1406.6666666666667,343.3333333333333,10.0,99.0,50170.333333333336,252.0,0.8038095238095239,0.8071111111111111,0.504,50194.666666666664,0.9995152207405834
23,0.1,0.1,1000.0,4.0,563.6666666666666,186.33333333333334,57.0,1329.6666666666667,420.3333333333333,10.0,98.66666666666667,65525.333333333336,329.0,0.7598095238095238,0.7515555555555555,0.658,65525.333333333336,1.0
24,0.1,0.1,1000.0,8.0,486.3333333333333,263.6666666666667,69.33333333333333,1154.0,596.0,10.0,99.33333333333333,78900.66666666667,375.3333333333333,0.6594285714285715,0.6484444444444444,0.7506666666666666,78900.66666666667,1.0
25,0.1,0.1,3000.0,0.5,725.6666666666666,24.333333333333332,23.0,1695.3333333333333,54.666666666666664,10.0,97.33333333333333,22925.666666666668,121.33333333333333,0.9687619047619047,0.9675555555555555,0.24266666666666667,22927.333333333332,0.9999273065627636
26,0.1,0.1,3000.0,1.0,713.0,37.0,39.0,1666.3333333333333,83.66666666666667,10.0,99.0,37191.333333333336,184.0,0.9521904761904761,0.9506666666666667,0.368,37191.333333333336,1.0
27,0.1,0.1,3000.0,2.0,700.3333333333334,49.666666666666664,49.333333333333336,1632.6666666666667,117.33333333333333,10.0,97.66666666666667,54035.666666666664,267.0,0.932952380952381,0.9337777777777778,0.534,54049.333333333336,0.9997471445839602
28,0.1,0.1,3000.0,4.0,671.3333333333334,78.66666666666667,65.33333333333333,1594.6666666666667,155.33333333333334,10.0,99.0,70493.66666666667,343.6666666666667,0.9112380952380953,0.8951111111111112,0.6873333333333334,70493.66666666667,1.0
29,0.1,0.1,3000.0,8.0,668.6666666666666,81.33333333333333,80.33333333333333,1552.0,198.0,10.0,99.66666666666667,83501.66666666667,405.0,0.8868571428571429,0.8915555555555555,0.81,83501.66666666667,1.0
30,0.1,0.1,10000.0,0.5,741.6666666666666,8.333333333333334,21.333333333333332,1733.6666666666667,16.333333333333332,10.0,98.33333333333333,23367.0,115.66666666666667,0.9906666666666667,0.9888888888888888,0.23133333333333334,23367.0,1.0
