,gfp_rbs_foldx,codon,ribosome_copy,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,cellularProtein_max,cellularProtein_norm
0,0.1,0.1,5,741.3333333333334,8.666666666666666,3.0,1738.0,12.0,10.0,100.0,1289.3333333333333,3.0,1289.3333333333333,1.0
1,0.1,0.1,25,718.6666666666666,31.333333333333332,7.333333333333333,1701.6666666666667,48.333333333333336,10.0,100.0,6312.333333333333,17.0,6312.333333333333,1.0
2,0.1,0.1,100,600.3333333333334,149.66666666666666,24.0,1519.0,231.0,10.0,99.66666666666667,23599.666666666668,57.0,23599.666666666668,1.0
3,0.1,0.1,500,227.33333333333334,522.6666666666666,76.33333333333333,961.3333333333334,788.6666666666666,10.0,97.66666666666667,77629.66666666667,182.33333333333334,77629.66666666667,1.0
4,0.1,0.1,2000,55.666666666666664,694.3333333333334,126.66666666666667,686.3333333333334,1063.6666666666667,10.0,86.66666666666667,104434.66666666667,299.3333333333333,104434.66666666667,1.0
5,0.1,0.3,5,738.0,12.0,3.0,1733.3333333333333,16.666666666666668,10.0,100.0,1291.0,2.6666666666666665,1291.0,1.0
6,0.1,0.3,25,707.6666666666666,42.333333333333336,6.333333333333333,1678.3333333333333,71.66666666666667,10.0,100.0,6309.0,14.666666666666666,6309.0,1.0
7,0.1,0.3,100,595.6666666666666,154.33333333333334,23.0,1524.3333333333333,225.66666666666666,10.0,99.66666666666667,23634.0,58.666666666666664,23634.0,1.0
8,0.1,0.3,500,221.33333333333334,528.6666666666666,69.33333333333333,983.3333333333334,766.6666666666666,10.0,97.33333333333333,77637.0,187.33333333333334,77637.0,1.0
9,0.1,0.3,2000,38.666666666666664,711.3333333333334,125.0,676.0,1074.0,10.0,86.33333333333333,104448.66666666667,290.3333333333333,104448.66666666667,1.0
10,0.1,0.7,5,737.3333333333334,12.666666666666666,3.0,1732.3333333333333,17.666666666666668,10.0,100.0,1290.6666666666667,2.6666666666666665,1290.6666666666667,1.0
11,0.1,0.7,25,724.0,26.0,8.333333333333334,1692.6666666666667,57.333333333333336,10.0,100.0,6311.666666666667,16.666666666666668,6339.666666666667,0.9955833640044166
12,0.1,0.7,100,598.0,152.0,21.0,1507.0,243.0,10.0,100.0,23627.666666666668,55.0,23676.333333333332,0.997944501541624
13,0.1,0.7,500,230.0,520.0,64.0,923.6666666666666,826.3333333333334,10.0,97.0,77686.66666666667,182.0,77686.66666666667,1.0
14,0.1,0.9,5,737.0,13.0,3.0,1733.0,17.0,10.0,100.0,1290.6666666666667,2.6666666666666665,1296.0,0.9958847736625515
15,0.1,0.9,25,691.6666666666666,58.333333333333336,7.333333333333333,1676.6666666666667,73.33333333333333,10.0,100.0,6305.666666666667,11.666666666666666,6324.0,0.9971009909340081
16,0.1,0.9,100,588.6666666666666,161.33333333333334,19.666666666666668,1518.3333333333333,231.66666666666666,10.0,100.0,23558.0,57.333333333333336,23609.0,0.9978398068533186
17,0.1,0.9,500,239.0,511.0,80.33333333333333,953.3333333333334,796.6666666666666,10.0,98.33333333333333,77722.0,195.0,77722.0,1.0
18,0.1,0.9,2000,50.666666666666664,699.3333333333334,123.66666666666667,716.0,1034.0,10.0,87.33333333333333,104501.66666666667,294.0,104501.66666666667,1.0
19,0.3,0.1,5,742.6666666666666,7.333333333333333,2.3333333333333335,1737.3333333333333,12.666666666666666,10.0,100.0,1287.6666666666667,3.0,1289.3333333333333,0.9987073422957602
20,0.3,0.1,25,713.0,37.0,23.0,1694.0,56.0,10.0,100.0,6295.666666666667,15.666666666666666,6312.333333333333,0.9973596662618156
21,0.3,0.1,100,592.0,158.0,66.33333333333333,1530.6666666666667,219.33333333333334,10.0,100.0,23563.0,60.333333333333336,23599.666666666668,0.9984463057387816
22,0.3,0.1,500,235.0,515.0,221.33333333333334,955.3333333333334,794.6666666666666,10.0,95.66666666666667,77574.66666666667,189.0,77629.66666666667,0.9992915079716088
23,0.3,0.1,2000,52.333333333333336,697.6666666666666,364.6666666666667,693.0,1057.0,10.0,80.33333333333333,104275.0,294.6666666666667,104434.66666666667,0.9984711334678139
24,0.3,0.3,5,738.0,12.0,2.3333333333333335,1733.0,17.0,10.0,100.0,1288.3333333333333,2.3333333333333335,1291.0,0.9979344177640072
25,0.3,0.3,25,700.3333333333334,49.666666666666664,21.333333333333332,1675.3333333333333,74.66666666666667,10.0,100.0,6289.666666666667,14.333333333333334,6309.0,0.9969355946531411
26,0.3,0.3,100,591.6666666666666,158.33333333333334,71.0,1517.6666666666667,232.33333333333334,10.0,99.66666666666667,23562.333333333332,59.666666666666664,23634.0,0.996967645482497
27,0.3,0.3,500,252.66666666666666,497.3333333333333,223.0,934.0,816.0,10.0,98.0,77616.66666666667,195.66666666666666,77637.0,0.9997380973848381
28,0.3,0.3,2000,45.0,705.0,359.3333333333333,695.3333333333334,1054.6666666666667,10.0,84.0,104329.33333333333,299.6666666666667,104448.66666666667,0.998857492994964
29,0.3,0.7,5,740.6666666666666,9.333333333333334,2.3333333333333335,1734.6666666666667,15.333333333333334,10.0,100.0,1289.6666666666667,2.6666666666666665,1290.6666666666667,0.9992252066115702
30,0.3,0.7,25,712.6666666666666,37.333333333333336,21.0,1696.3333333333333,53.666666666666664,10.0,100.0,6339.666666666667,16.333333333333332,6339.666666666667,1.0
31,0.3,0.7,100,608.3333333333334,141.66666666666666,65.66666666666667,1541.3333333333333,208.66666666666666,10.0,99.66666666666667,23676.333333333332,59.666666666666664,23676.333333333332,1.0
32,0.3,0.7,500,228.0,522.0,224.33333333333334,977.0,773.0,10.0,95.66666666666667,77653.66666666667,195.66666666666666,77686.66666666667,0.9995752166823993
33,0.3,0.9,5,737.0,13.0,2.0,1732.5,17.5,10.0,100.0,1296.0,2.0,1296.0,1.0
34,0.3,0.9,25,704.3333333333334,45.666666666666664,19.666666666666668,1687.3333333333333,62.666666666666664,10.0,100.0,6321.333333333333,15.0,6324.0,0.9995783259540375
35,0.3,0.9,100,584.3333333333334,165.66666666666666,62.666666666666664,1476.6666666666667,273.3333333333333,10.0,99.33333333333333,23609.0,53.666666666666664,23609.0,1.0
36,0.3,0.9,500,236.0,514.0,215.33333333333334,973.0,777.0,10.0,98.0,77688.0,198.33333333333334,77722.0,0.9995625434239983
37,0.3,0.9,2000,42.333333333333336,707.6666666666666,366.0,657.6666666666666,1092.3333333333333,10.0,85.66666666666667,104475.33333333333,294.0,104501.66666666667,0.9997480103985581
38,1.0,0.1,5,741.6666666666666,8.333333333333334,12.333333333333334,1742.0,8.0,10.0,100.0,1275.0,3.6666666666666665,1289.3333333333333,0.9888831437435368
39,1.0,0.1,25,694.0,56.0,62.333333333333336,1680.3333333333333,69.66666666666667,10.0,100.0,6303.0,13.333333333333334,6312.333333333333,0.9985214131066167
40,1.0,0.1,100,596.6666666666666,153.33333333333334,238.66666666666666,1525.0,225.0,10.0,100.0,23553.0,59.666666666666664,23599.666666666668,0.9980225709402675
41,1.0,0.1,500,224.0,526.0,794.3333333333334,1002.0,748.0,10.0,97.66666666666667,77330.0,188.0,77629.66666666667,0.9961397919180381
42,1.0,0.1,2000,56.333333333333336,693.6666666666666,1234.3333333333333,695.3333333333334,1054.6666666666667,10.0,84.33333333333333,103715.0,303.6666666666667,104434.66666666667,0.9931089293465771
43,1.0,0.3,5,738.0,12.0,16.0,1731.5,18.5,10.0,100.0,1276.0,3.0,1291.0,0.9883810999225406
44,1.0,0.3,25,707.3333333333334,42.666666666666664,64.0,1680.3333333333333,69.66666666666667,10.0,100.0,6304.333333333333,14.666666666666666,6309.0,0.9992603159507581
45,1.0,0.3,100,614.6666666666666,135.33333333333334,238.66666666666666,1544.6666666666667,205.33333333333334,10.0,99.66666666666667,23536.0,63.666666666666664,23634.0,0.9958534314969959
46,1.0,0.3,500,221.66666666666666,528.3333333333334,819.3333333333334,978.0,772.0,10.0,98.0,77371.66666666667,190.66666666666666,77637.0,0.9965823855464105
47,1.0,0.3,2000,55.333333333333336,694.6666666666666,1248.6666666666667,726.6666666666666,1023.3333333333334,9.666666666666666,84.0,103873.33333333333,296.3333333333333,104448.66666666667,0.9944917120371729
48,1.0,0.7,5,742.6666666666666,7.333333333333333,12.333333333333334,1733.6666666666667,16.333333333333332,10.0,100.0,1278.3333333333333,3.0,1290.6666666666667,0.990444214876033
49,1.0,0.7,25,707.0,43.0,72.33333333333333,1693.3333333333333,56.666666666666664,10.0,99.33333333333333,6279.333333333333,15.0,6339.666666666667,0.9904832010095167
50,1.0,0.7,100,601.0,149.0,236.33333333333334,1528.0,222.0,10.0,99.66666666666667,23539.666666666668,58.666666666666664,23676.333333333332,0.9942277098086698
51,1.0,0.7,500,241.33333333333334,508.6666666666667,844.3333333333334,994.6666666666666,755.3333333333334,10.0,98.33333333333333,77527.0,200.33333333333334,77686.66666666667,0.997944735261306
52,1.0,0.9,5,741.6666666666666,8.333333333333334,12.333333333333334,1733.3333333333333,16.666666666666668,10.0,100.0,1280.0,3.0,1296.0,0.9876543209876543
53,1.0,0.9,25,721.6666666666666,28.333333333333332,68.66666666666667,1692.0,58.0,10.0,100.0,6256.666666666667,18.0,6324.0,0.9893527303394477
54,1.0,0.9,100,593.3333333333334,156.66666666666666,226.0,1514.3333333333333,235.66666666666666,10.0,100.0,23593.666666666668,58.0,23609.0,0.9993505301650502
55,1.0,0.9,500,239.0,511.0,805.6666666666666,963.6666666666666,786.3333333333334,10.0,97.0,77592.66666666667,193.66666666666666,77722.0,0.9983359494952094
56,1.0,0.9,2000,47.0,703.0,1256.3333333333333,641.0,1109.0,10.0,90.0,104398.66666666667,294.6666666666667,104501.66666666667,0.9990143697867657
57,3.0,0.1,5,736.0,14.0,42.333333333333336,1734.3333333333333,15.666666666666666,10.0,100.0,1276.6666666666667,2.3333333333333335,1289.3333333333333,0.9901758014477767
58,3.0,0.1,25,706.3333333333334,43.666666666666664,181.0,1692.0,58.0,10.0,100.0,6288.0,15.666666666666666,6312.333333333333,0.9961451127422507
59,3.0,0.1,100,581.0,169.0,686.6666666666666,1509.0,241.0,10.0,99.66666666666667,23509.666666666668,55.0,23599.666666666668,0.9961863868133731
60,3.0,0.1,500,216.0,534.0,2319.6666666666665,1008.0,742.0,10.0,98.0,76609.0,200.0,77629.66666666667,0.9868521055094915
61,3.0,0.1,2000,45.0,705.0,3375.3333333333335,737.3333333333334,1012.6666666666666,7.666666666666667,82.0,102311.66666666667,304.6666666666667,104434.66666666667,0.9796715011618109
62,3.0,0.3,5,743.3333333333334,6.666666666666667,41.0,1736.3333333333333,13.666666666666666,10.0,100.0,1273.0,3.0,1291.0,0.9860573199070488
63,3.0,0.3,25,715.3333333333334,34.666666666666664,188.66666666666666,1703.6666666666667,46.333333333333336,10.0,100.0,6289.333333333333,17.0,6309.0,0.9968827600781951
64,3.0,0.3,100,610.0,140.0,709.6666666666666,1527.0,223.0,10.0,99.66666666666667,23455.666666666668,60.666666666666664,23634.0,0.9924543736424926
65,3.0,0.3,500,229.0,521.0,2327.0,967.6666666666666,782.3333333333334,10.0,99.0,76799.0,189.0,77637.0,0.9892061774669294
66,3.0,0.3,2000,40.0,710.0,3503.3333333333335,695.3333333333334,1054.6666666666667,9.666666666666666,82.33333333333333,102743.66666666667,302.0,104448.66666666667,0.9836761918135224
67,3.0,0.7,5,743.0,7.0,44.0,1739.3333333333333,10.666666666666666,10.0,99.66666666666667,1262.3333333333333,3.6666666666666665,1290.6666666666667,0.9780475206611569
68,3.0,0.7,25,701.0,49.0,191.33333333333334,1677.0,73.0,10.0,100.0,6321.666666666667,13.0,6339.666666666667,0.9971607340028392
69,3.0,0.7,100,582.3333333333334,167.66666666666666,715.6666666666666,1511.3333333333333,238.66666666666666,10.0,100.0,23523.0,52.333333333333336,23676.333333333332,0.9935237719804587
70,3.0,0.7,500,235.0,515.0,2332.6666666666665,962.6666666666666,787.3333333333334,10.0,97.66666666666667,77216.33333333333,196.33333333333334,77686.66666666667,0.9939457650390456
71,3.0,0.9,5,745.0,5.0,48.0,1739.3333333333333,10.666666666666666,10.0,100.0,1283.0,4.0,1296.0,0.9899691358024691
72,3.0,0.9,25,704.6666666666666,45.333333333333336,186.33333333333334,1685.0,65.0,10.0,100.0,6324.0,13.666666666666666,6324.0,1.0
73,3.0,0.9,100,581.6666666666666,168.33333333333334,729.0,1509.0,241.0,10.0,99.0,23573.666666666668,54.666666666666664,23609.0,0.998503395597724
74,3.0,0.9,500,242.33333333333334,507.6666666666667,2393.6666666666665,1026.0,724.0,10.0,96.33333333333333,77405.33333333333,199.66666666666666,77722.0,0.9959256495372395
