,gfp_copy,codon,bind_rate,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,cellularProtein_max,cellularProtein_norm
0,1,0.1,1000.0,746.0,4.0,1.0,1744.6666666666667,5.333333333333333,1.0,100.0,1043.3333333333333,497.0,1048.6666666666667,0.9949141767323584
1,1,0.1,3000.0,739.3333333333334,10.666666666666666,1.0,1735.6666666666667,14.333333333333334,1.0,100.0,2997.0,491.3333333333333,3092.6666666666665,0.9690666091830137
2,1,0.1,10000.0,713.0,37.0,2.5,1699.6666666666667,50.333333333333336,1.0,99.33333333333333,9665.333333333334,471.6666666666667,9728.333333333334,0.9935240705842042
3,1,0.1,30000.0,633.3333333333334,116.66666666666667,3.5,1575.0,175.0,1.0,99.33333333333333,25453.666666666668,409.3333333333333,25453.666666666668,1.0
4,1,0.1,100000.0,510.6666666666667,239.33333333333334,3.6666666666666665,1404.0,346.0,1.0,97.33333333333333,56171.333333333336,274.0,56171.333333333336,1.0
5,1,0.1,300000.0,429.3333333333333,320.6666666666667,7.0,1257.0,493.0,1.0,98.0,78855.33333333333,131.66666666666666,78855.33333333333,1.0
6,1,0.3,1000.0,742.0,8.0,1.0,1744.6666666666667,5.333333333333333,1.0,100.0,1034.6666666666667,495.6666666666667,1042.3333333333333,0.9926447073872723
7,1,0.3,3000.0,739.0,11.0,1.0,1733.6666666666667,16.333333333333332,1.0,100.0,3000.0,490.0,3055.6666666666665,0.9817824806370677
8,1,0.3,10000.0,716.6666666666666,33.333333333333336,1.5,1698.6666666666667,51.333333333333336,1.0,99.66666666666667,9644.333333333334,472.0,9694.666666666666,0.9948081419337094
9,1,0.3,30000.0,642.3333333333334,107.66666666666667,4.0,1575.6666666666667,174.33333333333334,1.0,99.33333333333333,25461.333333333332,410.0,25461.333333333332,1.0
10,1,0.3,100000.0,509.3333333333333,240.66666666666666,3.6666666666666665,1417.3333333333333,332.6666666666667,1.0,98.33333333333333,56142.0,265.3333333333333,56142.0,1.0
11,1,0.3,300000.0,430.3333333333333,319.6666666666667,6.333333333333333,1268.0,482.0,1.0,96.0,78860.0,118.0,78860.0,1.0
12,1,0.5,1000.0,747.0,3.0,1.0,1744.3333333333333,5.666666666666667,1.0,100.0,1043.3333333333333,497.0,1053.6666666666667,0.9901929769060422
13,1,0.5,3000.0,741.0,9.0,1.0,1736.6666666666667,13.333333333333334,1.0,99.66666666666667,3012.0,491.6666666666667,3057.3333333333335,0.9851722634103793
14,1,0.5,10000.0,716.3333333333334,33.666666666666664,1.5,1690.3333333333333,59.666666666666664,1.0,99.66666666666667,9656.0,473.3333333333333,9696.0,0.9958745874587459
15,1,0.5,30000.0,633.6666666666666,116.33333333333333,4.0,1585.0,165.0,1.0,99.66666666666667,25427.333333333332,406.0,25474.333333333332,0.9981550056920037
16,1,0.5,100000.0,521.3333333333334,228.66666666666666,3.6666666666666665,1373.6666666666667,376.3333333333333,1.0,97.33333333333333,56095.333333333336,270.6666666666667,56097.333333333336,0.9999643476814108
17,1,0.5,300000.0,428.0,322.0,5.0,1285.0,465.0,1.0,97.66666666666667,78838.66666666667,122.0,78838.66666666667,1.0
18,1,0.7,1000.0,744.3333333333334,5.666666666666667,1.0,1743.6666666666667,6.333333333333333,1.0,100.0,1034.6666666666667,495.6666666666667,1048.3333333333333,0.9869634340222577
19,1,0.7,3000.0,737.0,13.0,1.0,1730.0,20.0,1.0,100.0,3003.3333333333335,488.6666666666667,3074.3333333333335,0.9769055621815028
20,1,0.7,10000.0,710.0,40.0,2.0,1680.6666666666667,69.33333333333333,1.0,99.66666666666667,9688.333333333334,468.3333333333333,9761.666666666666,0.9924876216493086
21,1,0.7,30000.0,641.6666666666666,108.33333333333333,4.0,1584.3333333333333,165.66666666666666,1.0,99.66666666666667,25438.333333333332,415.3333333333333,25492.333333333332,0.9978817160714987
22,1,0.7,100000.0,518.0,232.0,4.0,1389.6666666666667,360.3333333333333,1.0,98.33333333333333,56154.666666666664,272.3333333333333,56203.333333333336,0.9991340964355613
23,1,0.7,300000.0,432.6666666666667,317.3333333333333,7.666666666666667,1263.6666666666667,486.3333333333333,1.0,97.66666666666667,78852.0,122.66666666666667,78852.0,1.0
24,1,0.9,1000.0,745.6666666666666,4.333333333333333,1.0,1742.0,8.0,1.0,100.0,1042.0,496.3333333333333,1054.5,0.9881460407776197
25,1,0.9,3000.0,736.3333333333334,13.666666666666666,1.0,1731.3333333333333,18.666666666666668,1.0,100.0,3001.3333333333335,488.0,3033.6666666666665,0.9893418305680696
26,1,0.9,10000.0,715.6666666666666,34.333333333333336,2.0,1694.6666666666667,55.333333333333336,1.0,99.66666666666667,9742.666666666666,474.6666666666667,9742.666666666666,1.0
27,1,0.9,30000.0,630.0,120.0,3.0,1579.3333333333333,170.66666666666666,1.0,99.66666666666667,25454.666666666668,404.3333333333333,25454.666666666668,1.0
28,1,0.9,100000.0,522.0,228.0,3.6666666666666665,1404.0,346.0,1.0,97.0,56059.333333333336,269.0,56153.333333333336,0.9983260121096996
29,1,0.9,300000.0,427.3333333333333,322.6666666666667,7.0,1271.3333333333333,478.6666666666667,1.0,98.33333333333333,78866.66666666667,127.33333333333333,78866.66666666667,1.0
30,2,0.1,1000.0,740.6666666666666,9.333333333333334,1.5,1742.0,8.0,2.0,100.0,1034.0,495.3333333333333,1048.6666666666667,0.9860139860139859
31,2,0.1,3000.0,738.3333333333334,11.666666666666666,2.0,1730.3333333333333,19.666666666666668,2.0,100.0,3010.0,490.0,3092.6666666666665,0.9732701013149386
32,2,0.1,10000.0,713.3333333333334,36.666666666666664,3.6666666666666665,1697.0,53.0,2.0,99.66666666666667,9637.666666666666,471.0,9728.333333333334,0.9906801439095424
33,2,0.1,30000.0,645.0,105.0,12.333333333333334,1610.3333333333333,139.66666666666666,2.0,99.33333333333333,25374.666666666668,414.0,25453.666666666668,0.9968963214206205
34,2,0.1,100000.0,509.0,241.0,17.0,1403.6666666666667,346.3333333333333,2.0,98.33333333333333,56147.333333333336,274.0,56171.333333333336,0.9995727357964324
35,2,0.1,300000.0,446.6666666666667,303.3333333333333,28.666666666666668,1275.6666666666667,474.3333333333333,2.0,96.0,78829.0,128.66666666666666,78855.33333333333,0.9996660551389465
36,2,0.3,1000.0,745.0,5.0,1.5,1748.0,2.0,2.0,100.0,1015.3333333333334,497.6666666666667,1042.3333333333333,0.9740965781899585
