,species,protein,codon_comp,tRNA_prop,tRNA_charging_rate
17279,TTT_uncharged,14.8,54,30,100.0
17280,__proteinX_rbs,93.6,54,30,100.0
17281,__ribosome,12.4,54,30,100.0
17282,proteinX,11362.0,54,30,100.0
17283,ATA_charged,60.4,55,30,100.0
17284,ATA_uncharged,9.6,55,30,100.0
17285,TTT_charged,16.6,55,30,100.0
17286,TTT_uncharged,13.4,55,30,100.0
17287,__proteinX_rbs,96.6,55,30,100.0
17288,__ribosome,9.2,55,30,100.0
17289,proteinX,11235.0,55,30,100.0
17290,ATA_charged,61.0,56,30,100.0
17291,ATA_uncharged,9.0,56,30,100.0
17292,TTT_charged,16.2,56,30,100.0
17293,TTT_uncharged,13.8,56,30,100.0
17294,__proteinX_rbs,94.2,56,30,100.0
17295,__ribosome,11.6,56,30,100.0
17296,proteinX,11101.8,56,30,100.0
17297,ATA_charged,62.4,59,30,100.0
17298,ATA_uncharged,7.6,59,30,100.0
17299,TTT_charged,17.6,59,30,100.0
17300,TTT_uncharged,12.4,59,30,100.0
17301,__proteinX_rbs,96.0,59,30,100.0
17302,__ribosome,11.4,59,30,100.0
17303,proteinX,10733.8,59,30,100.0
17304,ATA_charged,61.0,60,30,100.0
17305,ATA_uncharged,9.0,60,30,100.0
17306,TTT_charged,18.2,60,30,100.0
17307,TTT_uncharged,11.8,60,30,100.0
17308,__proteinX_rbs,95.2,60,30,100.0
17309,__ribosome,11.4,60,30,100.0
17310,proteinX,10604.6,60,30,100.0
17311,ATA_charged,60.5,61,30,100.0
17312,ATA_uncharged,9.5,61,30,100.0
17313,TTT_charged,17.0,61,30,100.0
17314,TTT_uncharged,13.0,61,30,100.0
17315,__proteinX_rbs,94.25,61,30,100.0
17316,__ribosome,11.25,61,30,100.0
17317,proteinX,10489.0,61,30,100.0
17318,ATA_charged,62.8,62,30,100.0
17319,ATA_uncharged,7.2,62,30,100.0
17320,TTT_charged,16.2,62,30,100.0
17321,TTT_uncharged,13.8,62,30,100.0
17322,__proteinX_rbs,95.8,62,30,100.0
17323,__ribosome,10.0,62,30,100.0
17324,proteinX,10368.8,62,30,100.0
17325,ATA_charged,62.8,63,30,100.0
17326,ATA_uncharged,7.2,63,30,100.0
17327,TTT_charged,16.8,63,30,100.0
17328,TTT_uncharged,13.2,63,30,100.0
17329,__proteinX_rbs,95.6,63,30,100.0
17330,__ribosome,12.4,63,30,100.0
17331,proteinX,10253.8,63,30,100.0
17332,ATA_charged,62.2,64,30,100.0
17333,ATA_uncharged,7.8,64,30,100.0
17334,TTT_charged,18.4,64,30,100.0
17335,TTT_uncharged,11.6,64,30,100.0
17336,__proteinX_rbs,96.0,64,30,100.0
17337,__ribosome,10.8,64,30,100.0
17338,proteinX,10140.8,64,30,100.0
17339,ATA_charged,65.0,65,30,100.0
17340,ATA_uncharged,5.0,65,30,100.0
17341,TTT_charged,17.4,65,30,100.0
17342,TTT_uncharged,12.6,65,30,100.0
17343,__proteinX_rbs,95.0,65,30,100.0
17344,__ribosome,9.2,65,30,100.0
17345,proteinX,10028.8,65,30,100.0
17346,ATA_charged,62.2,66,30,100.0
17347,ATA_uncharged,7.8,66,30,100.0
17348,TTT_charged,17.0,66,30,100.0
17349,TTT_uncharged,13.0,66,30,100.0
17350,__proteinX_rbs,96.6,66,30,100.0
17351,__ribosome,10.4,66,30,100.0
17352,proteinX,9925.8,66,30,100.0
17353,ATA_charged,64.4,67,30,100.0
17354,ATA_uncharged,5.6,67,30,100.0
17355,TTT_charged,16.2,67,30,100.0
17356,TTT_uncharged,13.8,67,30,100.0
17357,__proteinX_rbs,95.2,67,30,100.0
17358,__ribosome,12.8,67,30,100.0
17359,proteinX,9819.8,67,30,100.0
17360,ATA_charged,65.75,68,30,100.0
17361,ATA_uncharged,4.25,68,30,100.0
17362,TTT_charged,17.0,68,30,100.0
17363,TTT_uncharged,13.0,68,30,100.0
17364,__proteinX_rbs,96.0,68,30,100.0
17365,__ribosome,11.75,68,30,100.0
17366,proteinX,9714.0,68,30,100.0
17367,ATA_charged,66.2,69,30,100.0
17368,ATA_uncharged,3.8,69,30,100.0
17369,TTT_charged,16.0,69,30,100.0
17370,TTT_uncharged,14.0,69,30,100.0
17371,__proteinX_rbs,95.4,69,30,100.0
17372,__ribosome,9.6,69,30,100.0
17373,proteinX,9607.8,69,30,100.0
17374,ATA_charged,65.0,70,30,100.0
17375,ATA_uncharged,5.0,70,30,100.0
17376,TTT_charged,15.4,70,30,100.0
17377,TTT_uncharged,14.6,70,30,100.0
17378,__proteinX_rbs,95.8,70,30,100.0
17379,__ribosome,10.8,70,30,100.0
17380,proteinX,9501.4,70,30,100.0
17381,ATA_charged,64.4,72,30,100.0
17382,ATA_uncharged,5.6,72,30,100.0
17383,TTT_charged,16.4,72,30,100.0
17384,TTT_uncharged,13.6,72,30,100.0
17385,__proteinX_rbs,94.2,72,30,100.0
17386,__ribosome,10.8,72,30,100.0
17387,proteinX,9305.0,72,30,100.0
17388,ATA_charged,65.2,73,30,100.0
17389,ATA_uncharged,4.8,73,30,100.0
17390,TTT_charged,17.2,73,30,100.0
17391,TTT_uncharged,12.8,73,30,100.0
17392,__proteinX_rbs,95.2,73,30,100.0
17393,__ribosome,8.6,73,30,100.0
17394,proteinX,9209.4,73,30,100.0
17395,ATA_charged,65.5,74,30,100.0
17396,ATA_uncharged,4.5,74,30,100.0
17397,TTT_charged,17.25,74,30,100.0
17398,TTT_uncharged,12.75,74,30,100.0
17399,__proteinX_rbs,97.0,74,30,100.0
17400,__ribosome,10.75,74,30,100.0
17401,proteinX,9117.5,74,30,100.0
17402,ATA_charged,65.8,75,30,100.0
17403,ATA_uncharged,4.2,75,30,100.0
17404,TTT_charged,18.0,75,30,100.0
17405,TTT_uncharged,12.0,75,30,100.0
17406,__proteinX_rbs,93.6,75,30,100.0
17407,__ribosome,8.6,75,30,100.0
17408,proteinX,9018.8,75,30,100.0
17409,ATA_charged,66.0,76,30,100.0
17410,ATA_uncharged,4.0,76,30,100.0
17411,TTT_charged,17.0,76,30,100.0
17412,TTT_uncharged,13.0,76,30,100.0
17413,__proteinX_rbs,96.0,76,30,100.0
17414,__ribosome,9.6,76,30,100.0
17415,proteinX,8922.6,76,30,100.0
17416,ATA_charged,66.0,77,30,100.0
17417,ATA_uncharged,4.0,77,30,100.0
17418,TTT_charged,15.2,77,30,100.0
17419,TTT_uncharged,14.8,77,30,100.0
17420,__proteinX_rbs,94.8,77,30,100.0
17421,__ribosome,9.4,77,30,100.0
17422,proteinX,8836.6,77,30,100.0
17423,ATA_charged,67.66666666666667,78,30,100.0
17424,ATA_uncharged,2.3333333333333335,78,30,100.0
17425,TTT_charged,14.666666666666666,78,30,100.0
17426,TTT_uncharged,15.333333333333334,78,30,100.0
17427,__proteinX_rbs,94.0,78,30,100.0
17428,__ribosome,6.666666666666667,78,30,100.0
17429,proteinX,8737.333333333334,78,30,100.0
17430,ATA_charged,67.4,79,30,100.0
17431,ATA_uncharged,2.6,79,30,100.0
17432,TTT_charged,14.8,79,30,100.0
17433,TTT_uncharged,15.2,79,30,100.0
17434,__proteinX_rbs,96.0,79,30,100.0
17435,__ribosome,10.2,79,30,100.0
17436,proteinX,8663.8,79,30,100.0
17437,ATA_charged,66.2,80,30,100.0
17438,ATA_uncharged,3.8,80,30,100.0
17439,TTT_charged,17.8,80,30,100.0
17440,TTT_uncharged,12.2,80,30,100.0
17441,__proteinX_rbs,95.6,80,30,100.0
17442,__ribosome,10.6,80,30,100.0
17443,proteinX,8581.2,80,30,100.0
17444,ATA_charged,68.0,81,30,100.0
17445,ATA_uncharged,2.0,81,30,100.0
17446,TTT_charged,16.6,81,30,100.0
17447,TTT_uncharged,13.4,81,30,100.0
17448,__proteinX_rbs,95.6,81,30,100.0
17449,__ribosome,9.2,81,30,100.0
17450,proteinX,8491.2,81,30,100.0
17451,ATA_charged,66.8,82,30,100.0
17452,ATA_uncharged,3.2,82,30,100.0
17453,TTT_charged,16.8,82,30,100.0
17454,TTT_uncharged,13.2,82,30,100.0
17455,__proteinX_rbs,96.2,82,30,100.0
17456,__ribosome,10.4,82,30,100.0
17457,proteinX,8410.6,82,30,100.0
17458,ATA_charged,67.0,83,30,100.0
17459,ATA_uncharged,3.0,83,30,100.0
17460,TTT_charged,18.4,83,30,100.0
17461,TTT_uncharged,11.6,83,30,100.0
17462,__proteinX_rbs,93.6,83,30,100.0
17463,__ribosome,8.6,83,30,100.0
17464,proteinX,8322.6,83,30,100.0
17465,ATA_charged,67.6,84,30,100.0
17466,ATA_uncharged,2.4,84,30,100.0
17467,TTT_charged,18.2,84,30,100.0
17468,TTT_uncharged,11.8,84,30,100.0
17469,__proteinX_rbs,93.2,84,30,100.0
17470,__ribosome,6.6,84,30,100.0
17471,proteinX,8247.8,84,30,100.0
17472,ATA_charged,68.0,85,30,100.0
17473,ATA_uncharged,2.0,85,30,100.0
17474,TTT_charged,15.8,85,30,100.0
17475,TTT_uncharged,14.2,85,30,100.0
17476,__proteinX_rbs,93.8,85,30,100.0
17477,__ribosome,9.8,85,30,100.0
17478,proteinX,8169.4,85,30,100.0
17479,ATA_charged,67.2,86,30,100.0
17480,ATA_uncharged,2.8,86,30,100.0
17481,TTT_charged,18.8,86,30,100.0
17482,TTT_uncharged,11.2,86,30,100.0
17483,__proteinX_rbs,95.4,86,30,100.0
17484,__ribosome,9.6,86,30,100.0
17485,proteinX,8089.6,86,30,100.0
17486,ATA_charged,67.8,87,30,100.0
17487,ATA_uncharged,2.2,87,30,100.0
17488,TTT_charged,16.6,87,30,100.0
17489,TTT_uncharged,13.4,87,30,100.0
17490,__proteinX_rbs,96.2,87,30,100.0
17491,__ribosome,8.4,87,30,100.0
17492,proteinX,8014.4,87,30,100.0
17493,ATA_charged,69.33333333333333,88,30,100.0
17494,ATA_uncharged,0.6666666666666666,88,30,100.0
17495,TTT_charged,15.333333333333334,88,30,100.0
17496,TTT_uncharged,14.666666666666666,88,30,100.0
17497,__proteinX_rbs,95.33333333333333,88,30,100.0
17498,__ribosome,8.0,88,30,100.0
17499,proteinX,7932.0,88,30,100.0
17500,ATA_charged,68.0,89,30,100.0
17501,ATA_uncharged,2.0,89,30,100.0
17502,TTT_charged,17.2,89,30,100.0
17503,TTT_uncharged,12.8,89,30,100.0
17504,__proteinX_rbs,93.4,89,30,100.0
17505,__ribosome,9.6,89,30,100.0
17506,proteinX,7865.2,89,30,100.0
17507,ATA_charged,68.6,90,30,100.0
17508,ATA_uncharged,1.4,90,30,100.0
17509,TTT_charged,18.0,90,30,100.0
17510,TTT_uncharged,12.0,90,30,100.0
17511,__proteinX_rbs,96.2,90,30,100.0
17512,__ribosome,10.4,90,30,100.0
17513,proteinX,7793.6,90,30,100.0
17514,ATA_charged,68.6,91,30,100.0
17515,ATA_uncharged,1.4,91,30,100.0
17516,TTT_charged,15.2,91,30,100.0
17517,TTT_uncharged,14.8,91,30,100.0
17518,__proteinX_rbs,94.2,91,30,100.0
17519,__ribosome,8.8,91,30,100.0
17520,proteinX,7722.2,91,30,100.0
17521,ATA_charged,69.4,92,30,100.0
17522,ATA_uncharged,0.6,92,30,100.0
17523,TTT_charged,16.8,92,30,100.0
17524,TTT_uncharged,13.2,92,30,100.0
17525,__proteinX_rbs,94.0,92,30,100.0
17526,__ribosome,7.2,92,30,100.0
17527,proteinX,7654.2,92,30,100.0
17528,ATA_charged,68.6,93,30,100.0
17529,ATA_uncharged,1.4,93,30,100.0
17530,TTT_charged,15.8,93,30,100.0
17531,TTT_uncharged,14.2,93,30,100.0
17532,__proteinX_rbs,94.8,93,30,100.0
17533,__ribosome,7.4,93,30,100.0
17534,proteinX,7581.2,93,30,100.0
17535,ATA_charged,69.25,94,30,100.0
17536,ATA_uncharged,0.75,94,30,100.0
17537,TTT_charged,15.5,94,30,100.0
17538,TTT_uncharged,14.5,94,30,100.0
17539,__proteinX_rbs,93.75,94,30,100.0
17540,__ribosome,9.25,94,30,100.0
17541,proteinX,7517.25,94,30,100.0
17542,ATA_charged,69.2,95,30,100.0
17543,ATA_uncharged,0.8,95,30,100.0
17544,TTT_charged,18.2,95,30,100.0
17545,TTT_uncharged,11.8,95,30,100.0
17546,__proteinX_rbs,94.8,95,30,100.0
17547,__ribosome,7.6,95,30,100.0
17548,proteinX,7447.4,95,30,100.0
17549,ATA_charged,69.4,96,30,100.0
17550,ATA_uncharged,0.6,96,30,100.0
17551,TTT_charged,17.2,96,30,100.0
17552,TTT_uncharged,12.8,96,30,100.0
17553,__proteinX_rbs,93.0,96,30,100.0
17554,__ribosome,7.6,96,30,100.0
17555,proteinX,7385.4,96,30,100.0
17556,ATA_charged,69.4,97,30,100.0
17557,ATA_uncharged,0.6,97,30,100.0
17558,TTT_charged,14.6,97,30,100.0
17559,TTT_uncharged,15.4,97,30,100.0
17560,__proteinX_rbs,95.0,97,30,100.0
17561,__ribosome,5.6,97,30,100.0
17562,proteinX,7322.8,97,30,100.0
17563,ATA_charged,69.6,98,30,100.0
17564,ATA_uncharged,0.4,98,30,100.0
17565,TTT_charged,16.2,98,30,100.0
17566,TTT_uncharged,13.8,98,30,100.0
17567,__proteinX_rbs,94.2,98,30,100.0
17568,__ribosome,7.8,98,30,100.0
17569,proteinX,7256.2,98,30,100.0
17570,ATA_charged,69.8,99,30,100.0
17571,ATA_uncharged,0.2,99,30,100.0
17572,TTT_charged,17.4,99,30,100.0
17573,TTT_uncharged,12.6,99,30,100.0
17574,__proteinX_rbs,96.4,99,30,100.0
17575,__ribosome,8.4,99,30,100.0
17576,proteinX,7191.2,99,30,100.0
17577,ATA_charged,30.4,1,40,100.0
17578,ATA_uncharged,29.6,1,40,100.0
17579,TTT_charged,39.8,1,40,100.0
17580,TTT_uncharged,0.2,1,40,100.0
17581,__proteinX_rbs,95.8,1,40,100.0
17582,__ribosome,14.4,1,40,100.0
17583,proteinX,13833.8,1,40,100.0
17584,ATA_charged,34.6,2,40,100.0
17585,ATA_uncharged,25.4,2,40,100.0
17586,TTT_charged,39.4,2,40,100.0
17587,TTT_uncharged,0.6,2,40,100.0
17588,__proteinX_rbs,95.0,2,40,100.0
17589,__ribosome,13.4,2,40,100.0
17590,proteinX,13904.4,2,40,100.0
17591,ATA_charged,33.0,3,40,100.0
17592,ATA_uncharged,27.0,3,40,100.0
17593,TTT_charged,39.6,3,40,100.0
17594,TTT_uncharged,0.4,3,40,100.0
17595,__proteinX_rbs,95.0,3,40,100.0
17596,__ribosome,12.6,3,40,100.0
17597,proteinX,13973.2,3,40,100.0
17598,ATA_charged,32.0,4,40,100.0
17599,ATA_uncharged,28.0,4,40,100.0
17600,TTT_charged,38.0,4,40,100.0
17601,TTT_uncharged,2.0,4,40,100.0
17602,__proteinX_rbs,96.0,4,40,100.0
17603,__ribosome,17.0,4,40,100.0
17604,proteinX,14045.2,4,40,100.0
17605,ATA_charged,34.2,5,40,100.0
17606,ATA_uncharged,25.8,5,40,100.0
17607,TTT_charged,38.4,5,40,100.0
17608,TTT_uncharged,1.6,5,40,100.0
17609,__proteinX_rbs,95.8,5,40,100.0
17610,__ribosome,16.0,5,40,100.0
17611,proteinX,14095.4,5,40,100.0
17612,ATA_charged,33.8,6,40,100.0
17613,ATA_uncharged,26.2,6,40,100.0
17614,TTT_charged,38.0,6,40,100.0
17615,TTT_uncharged,2.0,6,40,100.0
17616,__proteinX_rbs,95.8,6,40,100.0
17617,__ribosome,13.6,6,40,100.0
17618,proteinX,14168.8,6,40,100.0
17619,ATA_charged,36.2,7,40,100.0
17620,ATA_uncharged,23.8,7,40,100.0
17621,TTT_charged,38.8,7,40,100.0
17622,TTT_uncharged,1.2,7,40,100.0
17623,__proteinX_rbs,96.0,7,40,100.0
17624,__ribosome,18.0,7,40,100.0
17625,proteinX,14233.6,7,40,100.0
17626,ATA_charged,32.8,8,40,100.0
17627,ATA_uncharged,27.2,8,40,100.0
17628,TTT_charged,38.0,8,40,100.0
17629,TTT_uncharged,2.0,8,40,100.0
17630,__proteinX_rbs,95.6,8,40,100.0
17631,__ribosome,13.0,8,40,100.0
17632,proteinX,14309.8,8,40,100.0
17633,ATA_charged,32.2,9,40,100.0
17634,ATA_uncharged,27.8,9,40,100.0
17635,TTT_charged,38.4,9,40,100.0
17636,TTT_uncharged,1.6,9,40,100.0
17637,__proteinX_rbs,95.2,9,40,100.0
17638,__ribosome,15.8,9,40,100.0
17639,proteinX,14364.8,9,40,100.0
17640,ATA_charged,30.6,10,40,100.0
17641,ATA_uncharged,29.4,10,40,100.0
17642,TTT_charged,36.4,10,40,100.0
17643,TTT_uncharged,3.6,10,40,100.0
17644,__proteinX_rbs,95.0,10,40,100.0
17645,__ribosome,14.0,10,40,100.0
17646,proteinX,14432.8,10,40,100.0
17647,ATA_charged,36.2,11,40,100.0
17648,ATA_uncharged,23.8,11,40,100.0
17649,TTT_charged,35.8,11,40,100.0
17650,TTT_uncharged,4.2,11,40,100.0
17651,__proteinX_rbs,93.0,11,40,100.0
17652,__ribosome,15.2,11,40,100.0
17653,proteinX,14489.4,11,40,100.0
17654,ATA_charged,34.2,12,40,100.0
17655,ATA_uncharged,25.8,12,40,100.0
17656,TTT_charged,37.0,12,40,100.0
17657,TTT_uncharged,3.0,12,40,100.0
17658,__proteinX_rbs,95.8,12,40,100.0
17659,__ribosome,19.8,12,40,100.0
17660,proteinX,14540.2,12,40,100.0
17661,ATA_charged,34.8,13,40,100.0
17662,ATA_uncharged,25.2,13,40,100.0
17663,TTT_charged,36.8,13,40,100.0
17664,TTT_uncharged,3.2,13,40,100.0
17665,__proteinX_rbs,95.6,13,40,100.0
17666,__ribosome,16.2,13,40,100.0
17667,proteinX,14603.6,13,40,100.0
17668,ATA_charged,33.2,14,40,100.0
17669,ATA_uncharged,26.8,14,40,100.0
17670,TTT_charged,35.4,14,40,100.0
17671,TTT_uncharged,4.6,14,40,100.0
17672,__proteinX_rbs,94.8,14,40,100.0
17673,__ribosome,17.0,14,40,100.0
17674,proteinX,14648.6,14,40,100.0
17675,ATA_charged,32.6,15,40,100.0
17676,ATA_uncharged,27.4,15,40,100.0
17677,TTT_charged,35.8,15,40,100.0
17678,TTT_uncharged,4.2,15,40,100.0
17679,__proteinX_rbs,95.8,15,40,100.0
17680,__ribosome,16.0,15,40,100.0
17681,proteinX,14705.8,15,40,100.0
17682,ATA_charged,39.2,16,40,100.0
17683,ATA_uncharged,20.8,16,40,100.0
17684,TTT_charged,36.4,16,40,100.0
17685,TTT_uncharged,3.6,16,40,100.0
17686,__proteinX_rbs,96.0,16,40,100.0
17687,__ribosome,16.0,16,40,100.0
17688,proteinX,14751.4,16,40,100.0
17689,ATA_charged,36.4,17,40,100.0
17690,ATA_uncharged,23.6,17,40,100.0
17691,TTT_charged,35.2,17,40,100.0
17692,TTT_uncharged,4.8,17,40,100.0
17693,__proteinX_rbs,94.8,17,40,100.0
17694,__ribosome,16.6,17,40,100.0
17695,proteinX,14809.6,17,40,100.0
17696,ATA_charged,33.4,18,40,100.0
17697,ATA_uncharged,26.6,18,40,100.0
17698,TTT_charged,35.8,18,40,100.0
17699,TTT_uncharged,4.2,18,40,100.0
17700,__proteinX_rbs,94.4,18,40,100.0
17701,__ribosome,16.6,18,40,100.0
17702,proteinX,14847.0,18,40,100.0
17703,ATA_charged,38.8,19,40,100.0
17704,ATA_uncharged,21.2,19,40,100.0
17705,TTT_charged,33.8,19,40,100.0
17706,TTT_uncharged,6.2,19,40,100.0
17707,__proteinX_rbs,94.4,19,40,100.0
17708,__ribosome,14.4,19,40,100.0
17709,proteinX,14889.0,19,40,100.0
17710,ATA_charged,37.2,20,40,100.0
17711,ATA_uncharged,22.8,20,40,100.0
17712,TTT_charged,37.2,20,40,100.0
17713,TTT_uncharged,2.8,20,40,100.0
17714,__proteinX_rbs,96.2,20,40,100.0
17715,__ribosome,15.2,20,40,100.0
17716,proteinX,14920.6,20,40,100.0
17717,ATA_charged,36.2,21,40,100.0
17718,ATA_uncharged,23.8,21,40,100.0
17719,TTT_charged,32.4,21,40,100.0
17720,TTT_uncharged,7.6,21,40,100.0
17721,__proteinX_rbs,94.4,21,40,100.0
17722,__ribosome,16.0,21,40,100.0
17723,proteinX,14954.2,21,40,100.0
17724,ATA_charged,37.6,22,40,100.0
17725,ATA_uncharged,22.4,22,40,100.0
17726,TTT_charged,32.6,22,40,100.0
17727,TTT_uncharged,7.4,22,40,100.0
17728,__proteinX_rbs,95.6,22,40,100.0
17729,__ribosome,13.8,22,40,100.0
17730,proteinX,14995.0,22,40,100.0
17731,ATA_charged,33.2,23,40,100.0
17732,ATA_uncharged,26.8,23,40,100.0
17733,TTT_charged,32.4,23,40,100.0
17734,TTT_uncharged,7.6,23,40,100.0
17735,__proteinX_rbs,94.4,23,40,100.0
17736,__ribosome,12.2,23,40,100.0
17737,proteinX,15003.0,23,40,100.0
17738,ATA_charged,37.4,24,40,100.0
17739,ATA_uncharged,22.6,24,40,100.0
17740,TTT_charged,32.8,24,40,100.0
17741,TTT_uncharged,7.2,24,40,100.0
17742,__proteinX_rbs,95.2,24,40,100.0
17743,__ribosome,15.0,24,40,100.0
17744,proteinX,15026.8,24,40,100.0
17745,ATA_charged,37.6,25,40,100.0
17746,ATA_uncharged,22.4,25,40,100.0
17747,TTT_charged,30.4,25,40,100.0
17748,TTT_uncharged,9.6,25,40,100.0
17749,__proteinX_rbs,95.4,25,40,100.0
17750,__ribosome,13.4,25,40,100.0
17751,proteinX,15056.4,25,40,100.0
17752,ATA_charged,36.4,26,40,100.0
17753,ATA_uncharged,23.6,26,40,100.0
17754,TTT_charged,31.4,26,40,100.0
17755,TTT_uncharged,8.6,26,40,100.0
17756,__proteinX_rbs,93.6,26,40,100.0
17757,__ribosome,14.6,26,40,100.0
17758,proteinX,15056.0,26,40,100.0
17759,ATA_charged,39.2,27,40,100.0
17760,ATA_uncharged,20.8,27,40,100.0
17761,TTT_charged,31.0,27,40,100.0
17762,TTT_uncharged,9.0,27,40,100.0
17763,__proteinX_rbs,94.6,27,40,100.0
17764,__ribosome,14.4,27,40,100.0
17765,proteinX,15067.2,27,40,100.0
17766,ATA_charged,37.6,28,40,100.0
17767,ATA_uncharged,22.4,28,40,100.0
17768,TTT_charged,32.0,28,40,100.0
17769,TTT_uncharged,8.0,28,40,100.0
17770,__proteinX_rbs,93.4,28,40,100.0
17771,__ribosome,14.2,28,40,100.0
17772,proteinX,15075.8,28,40,100.0
17773,ATA_charged,41.0,30,40,100.0
17774,ATA_uncharged,19.0,30,40,100.0
17775,TTT_charged,30.6,30,40,100.0
17776,TTT_uncharged,9.4,30,40,100.0
17777,__proteinX_rbs,95.2,30,40,100.0
17778,__ribosome,16.6,30,40,100.0
17779,proteinX,15066.8,30,40,100.0
17780,ATA_charged,39.8,31,40,100.0
17781,ATA_uncharged,20.2,31,40,100.0
17782,TTT_charged,31.4,31,40,100.0
17783,TTT_uncharged,8.6,31,40,100.0
17784,__proteinX_rbs,94.8,31,40,100.0
17785,__ribosome,17.4,31,40,100.0
17786,proteinX,15055.0,31,40,100.0
17787,ATA_charged,42.2,32,40,100.0
17788,ATA_uncharged,17.8,32,40,100.0
17789,TTT_charged,29.2,32,40,100.0
17790,TTT_uncharged,10.8,32,40,100.0
17791,__proteinX_rbs,94.6,32,40,100.0
17792,__ribosome,15.2,32,40,100.0
17793,proteinX,15057.8,32,40,100.0
17794,ATA_charged,39.2,33,40,100.0
17795,ATA_uncharged,20.8,33,40,100.0
17796,TTT_charged,33.8,33,40,100.0
17797,TTT_uncharged,6.2,33,40,100.0
17798,__proteinX_rbs,94.6,33,40,100.0
17799,__ribosome,14.0,33,40,100.0
17800,proteinX,15025.4,33,40,100.0
17801,ATA_charged,40.0,34,40,100.0
17802,ATA_uncharged,20.0,34,40,100.0
17803,TTT_charged,29.0,34,40,100.0
17804,TTT_uncharged,11.0,34,40,100.0
17805,__proteinX_rbs,94.4,34,40,100.0
17806,__ribosome,14.0,34,40,100.0
17807,proteinX,15001.2,34,40,100.0
17808,ATA_charged,39.0,35,40,100.0
17809,ATA_uncharged,21.0,35,40,100.0
17810,TTT_charged,27.4,35,40,100.0
17811,TTT_uncharged,12.6,35,40,100.0
17812,__proteinX_rbs,95.6,35,40,100.0
17813,__ribosome,16.0,35,40,100.0
17814,proteinX,14972.0,35,40,100.0
17815,ATA_charged,40.6,36,40,100.0
17816,ATA_uncharged,19.4,36,40,100.0
17817,TTT_charged,30.2,36,40,100.0
17818,TTT_uncharged,9.8,36,40,100.0
17819,__proteinX_rbs,94.8,36,40,100.0
17820,__ribosome,15.2,36,40,100.0
17821,proteinX,14950.6,36,40,100.0
17822,ATA_charged,40.8,37,40,100.0
17823,ATA_uncharged,19.2,37,40,100.0
17824,TTT_charged,28.8,37,40,100.0
17825,TTT_uncharged,11.2,37,40,100.0
17826,__proteinX_rbs,94.8,37,40,100.0
17827,__ribosome,13.8,37,40,100.0
17828,proteinX,14898.4,37,40,100.0
17829,ATA_charged,41.2,38,40,100.0
17830,ATA_uncharged,18.8,38,40,100.0
17831,TTT_charged,29.0,38,40,100.0
17832,TTT_uncharged,11.0,38,40,100.0
17833,__proteinX_rbs,94.8,38,40,100.0
17834,__ribosome,14.0,38,40,100.0
17835,proteinX,14843.8,38,40,100.0
17836,ATA_charged,42.4,39,40,100.0
17837,ATA_uncharged,17.6,39,40,100.0
17838,TTT_charged,26.8,39,40,100.0
17839,TTT_uncharged,13.2,39,40,100.0
17840,__proteinX_rbs,95.6,39,40,100.0
17841,__ribosome,12.8,39,40,100.0
17842,proteinX,14796.8,39,40,100.0
17843,ATA_charged,40.6,40,40,100.0
17844,ATA_uncharged,19.4,40,40,100.0
17845,TTT_charged,28.8,40,40,100.0
17846,TTT_uncharged,11.2,40,40,100.0
17847,__proteinX_rbs,95.2,40,40,100.0
17848,__ribosome,13.4,40,40,100.0
17849,proteinX,14744.8,40,40,100.0
17850,ATA_charged,47.4,41,40,100.0
17851,ATA_uncharged,12.6,41,40,100.0
17852,TTT_charged,26.6,41,40,100.0
17853,TTT_uncharged,13.4,41,40,100.0
17854,__proteinX_rbs,94.6,41,40,100.0
17855,__ribosome,15.4,41,40,100.0
17856,proteinX,14692.6,41,40,100.0
17857,ATA_charged,44.8,44,40,100.0
17858,ATA_uncharged,15.2,44,40,100.0
17859,TTT_charged,28.8,44,40,100.0
17860,TTT_uncharged,11.2,44,40,100.0
17861,__proteinX_rbs,94.2,44,40,100.0
17862,__ribosome,13.8,44,40,100.0
17863,proteinX,14491.8,44,40,100.0
17864,ATA_charged,44.6,45,40,100.0
17865,ATA_uncharged,15.4,45,40,100.0
17866,TTT_charged,25.6,45,40,100.0
17867,TTT_uncharged,14.4,45,40,100.0
17868,__proteinX_rbs,96.4,45,40,100.0
17869,__ribosome,13.2,45,40,100.0
17870,proteinX,14423.0,45,40,100.0
17871,ATA_charged,45.6,46,40,100.0
17872,ATA_uncharged,14.4,46,40,100.0
17873,TTT_charged,26.4,46,40,100.0
17874,TTT_uncharged,13.6,46,40,100.0
17875,__proteinX_rbs,94.2,46,40,100.0
17876,__ribosome,13.4,46,40,100.0
17877,proteinX,14341.2,46,40,100.0
17878,ATA_charged,44.75,47,40,100.0
17879,ATA_uncharged,15.25,47,40,100.0
17880,TTT_charged,23.0,47,40,100.0
17881,TTT_uncharged,17.0,47,40,100.0
17882,__proteinX_rbs,91.75,47,40,100.0
17883,__ribosome,10.75,47,40,100.0
17884,proteinX,14256.25,47,40,100.0
17885,ATA_charged,43.4,48,40,100.0
17886,ATA_uncharged,16.6,48,40,100.0
17887,TTT_charged,27.6,48,40,100.0
17888,TTT_uncharged,12.4,48,40,100.0
17889,__proteinX_rbs,95.2,48,40,100.0
17890,__ribosome,15.0,48,40,100.0
17891,proteinX,14185.8,48,40,100.0
