,species,protein,codon_comp,tRNA_prop,tRNA_charging_rate
123,__proteinX_rbs,94.0,18,1,10.0
124,__ribosome,0.0,18,1,10.0
125,proteinX,203.33333333333334,18,1,10.0
126,ATA_charged,96.0,19,1,10.0
127,ATA_uncharged,3.0,19,1,10.0
128,TTT_charged,0.0,19,1,10.0
129,TTT_uncharged,1.0,19,1,10.0
130,__proteinX_rbs,97.0,19,1,10.0
131,__ribosome,1.0,19,1,10.0
132,proteinX,196.0,19,1,10.0
133,ATA_charged,96.5,20,1,10.0
134,ATA_uncharged,2.5,20,1,10.0
135,TTT_charged,0.0,20,1,10.0
136,TTT_uncharged,1.0,20,1,10.0
137,__proteinX_rbs,96.5,20,1,10.0
138,__ribosome,0.0,20,1,10.0
139,proteinX,176.5,20,1,10.0
140,ATA_charged,91.0,21,1,10.0
141,ATA_uncharged,8.0,21,1,10.0
142,TTT_charged,0.0,21,1,10.0
143,TTT_uncharged,1.0,21,1,10.0
144,__proteinX_rbs,92.0,21,1,10.0
145,__ribosome,0.0,21,1,10.0
146,proteinX,167.0,21,1,10.0
147,ATA_charged,96.33333333333333,22,1,10.0
148,ATA_uncharged,2.6666666666666665,22,1,10.0
149,TTT_charged,0.3333333333333333,22,1,10.0
150,TTT_uncharged,0.6666666666666666,22,1,10.0
151,__proteinX_rbs,96.0,22,1,10.0
152,__ribosome,0.0,22,1,10.0
153,proteinX,159.0,22,1,10.0
154,ATA_charged,97.0,23,1,10.0
155,ATA_uncharged,2.0,23,1,10.0
156,TTT_charged,0.0,23,1,10.0
157,TTT_uncharged,1.0,23,1,10.0
158,__proteinX_rbs,96.0,23,1,10.0
159,__ribosome,1.0,23,1,10.0
160,proteinX,150.0,23,1,10.0
161,ATA_charged,98.0,24,1,10.0
162,ATA_uncharged,1.0,24,1,10.0
163,TTT_charged,0.0,24,1,10.0
164,TTT_uncharged,1.0,24,1,10.0
165,__proteinX_rbs,96.0,24,1,10.0
166,__ribosome,1.0,24,1,10.0
167,proteinX,126.0,24,1,10.0
168,ATA_charged,99.0,25,1,10.0
169,ATA_uncharged,0.0,25,1,10.0
170,TTT_charged,0.0,25,1,10.0
171,TTT_uncharged,1.0,25,1,10.0
172,__proteinX_rbs,93.0,25,1,10.0
173,__ribosome,0.0,25,1,10.0
174,proteinX,125.0,25,1,10.0
175,ATA_charged,99.0,26,1,10.0
176,ATA_uncharged,0.0,26,1,10.0
177,TTT_charged,0.0,26,1,10.0
178,TTT_uncharged,1.0,26,1,10.0
179,__proteinX_rbs,92.0,26,1,10.0
180,__ribosome,0.0,26,1,10.0
181,proteinX,118.0,26,1,10.0
