Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,
,,,,,,,,
Date:,12/27/2023,,,,,,,
Time:,1:41:30 PM,,,,,,,
,,,,,,,,
,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,
Plate-ID (Stacker),,,,,,,,
,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,
,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,
,,,,,,,,
List of actions in this measurement script:,,,,,,,,
C7,5749,5367,4950,4745,4523,4451,4543,4545
C8,37,42,48,48,51,52,56,55
C9,4,12,18,20,21,25,27,26
C10,3,10,18,19,23,25,26,28
C11,4,10,17,20,24,26,25,27
D2,7230,6458,6086,5659,5464,5497,5536,5569
D3,6210,5773,5367,5083,4880,4855,4811,4837
D4,4374,4093,3831,3599,3461,3400,3428,3499
D5,8916,8335,7797,7401,7122,6957,6909,6876
D6,9044,8417,7897,7501,7232,7062,7096,7082
D7,6339,5888,5435,5141,4907,4854,4910,4889
D8,37,43,49,52,54,55,54,53
D9,5,11,18,20,24,25,25,25
D10,3,11,17,21,22,24,25,26
D11,4,13,16,20,26,24,27,26
E2,4537,4031,3786,3609,3470,3571,3572,3595
E3,4549,4085,3816,3651,3523,3446,3414,3402
E4,3240,3005,2837,2643,2587,2538,2586,2559
E5,7115,6624,6090,5906,5786,5590,5658,5601
E6,7266,6688,6210,5941,5753,5653,5770,5758
E7,4269,3877,3658,3498,3312,3244,3240,3189
E8,35,43,48,49,51,54,53,55
E9,5,13,17,20,25,25,26,27
E10,4,12,17,20,21,25,25,28
E11,5,11,16,21,22,24,24,27
F2,4,12,17,21,24,27,25,28
F3,6,12,18,20,26,25,28,28
F4,6,10,16,22,24,25,27,27
F5,5,11,17,20,21,23,24,27
F6,3,12,18,21,24,25,28,27
F7,4,14,18,18,22,25,25,27
F8,5,13,17,20,20,24,25,26
F9,4,13,17,21,22,25,25,26
F10,5,11,16,21,24,25,25,28
F11,4,10,17,20,22,23,27,26
G2,5,13,19,20,22,23,25,27
G3,4,11,20,21,19,24,26,26
G4,4,10,17,20,21,25,24,26
G5,4,10,16,21,22,25,25,31
G6,4,13,16,21,22,24,26,26
G7,4,11,15,21,22,23,24,25
G8,5,11,18,21,22,25,24,29
G9,5,11,16,20,23,25,28,28
G10,5,13,16,21,21,23,25,27
G11,4,10,16,20,22,23,25,28
,,,,,,,,
OD600,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8
Time [s],0,912.5,1825.1,2737.6,3650.1,4562.6,5475.1,6387.6
Temp. [°C],37.2,37.2,37,37,37,37,36.9,37.1
B2,0.175400003790855,0.178200006484985,0.178200006484985,0.182300001382828,0.190400004386902,0.205899998545647,0.230599999427795,0.267100006341934
B3,0.163699999451637,0.166899994015694,0.167099997401238,0.167400002479553,0.170000001788139,0.174899995326996,0.181799992918968,0.191899999976158
B4,0.175799995660782,0.178200006484985,0.17739999294281,0.178900003433228,0.185900002717972,0.19820000231266,0.219600006937981,0.252000004053116
B5,0.180600002408028,0.184499993920326,0.184499993920326,0.183400005102158,0.183300003409386,0.18359999358654,0.184499993920326,0.186599999666214
B6,0.177699998021126,0.18129999935627,0.180000007152557,0.180899992585182,0.185699999332428,0.197999998927116,0.217600002884865,0.24609999358654
B7,0.17679999768734,0.179499998688698,0.179299995303154,0.179199993610382,0.180899992585182,0.185699999332428,0.194000005722046,0.207499995827675
B8,0.0926999971270561,0.092799998819828,0.0930000022053719,0.0929000005126,0.0930000022053719,0.0930999964475632,0.0935000032186508,0.0939000025391579
B9,0.0861999988555908,0.0854000002145767,0.0847999975085259,0.0848999992012978,0.0847999975085259,0.0847999975085259,0.0843999981880188,0.0843999981880188
B10,0.0795999988913536,0.0795999988913536,0.0795999988913536,0.0798999965190888,0.0803999975323677,0.0807000026106834,0.0812000036239624,0.0811000019311905
B11,0.0835999995470047,0.0820999965071678,0.0825000032782555,0.0830999985337257,0.0837000012397766,0.0851000025868416,0.0860999971628189,0.086499996483326
C2,0.191499993205071,0.184499993920326,0.180399999022484,0.180999994277954,0.1875,0.202000007033348,0.226799994707108,0.264400005340576
