time,well,iptg,strain,rbs,temp,OD600,fluor,mCherry_high,mCherry_low
0.0,B3,0.01875,MCH10,RBS1,37.13333333333333,0.022975002725919083,mCherry,1823.4166666666667,472.0833333333333
0.0,B4,0.01875,MCH75,RBS0.125,37.13333333333333,0.03147499759991963,mCherry,577.4166666666666,145.08333333333334
0.0,B6,0.01875,MCH25,RBS2,37.13333333333333,0.02857500811417897,mCherry,985.4166666666666,243.08333333333334
0.0,B7,0.01875,MCH25,RBS0.25,37.13333333333333,0.02967499693234761,mCherry,786.4166666666666,199.08333333333334
0.0,B8,0.01875,MCH10,RBS2,37.13333333333333,0.033374999960263566,mCherry,1220.4166666666667,311.0833333333333
0.0,B9,0.01875,MCH10,RBS0.125,37.13333333333333,0.03127499421437581,mCherry,901.4166666666666,224.08333333333334
0.0,B10,0.01875,MCH25,RBS1,37.13333333333333,0.03117500742276509,mCherry,1031.4166666666667,259.0833333333333
0.0,C2,0.01875,MCH50,RBS0.125,37.13333333333333,0.04057500263055165,mCherry,1118.4166666666667,279.0833333333333
0.0,C3,0.01875,MCH25,RBS0.5,37.13333333333333,0.03637500603993733,mCherry,779.4166666666666,184.08333333333334
0.0,C4,0.01875,MCH50,RBS2,37.13333333333333,0.03657499452431996,mCherry,1170.4166666666667,295.0833333333333
0.0,C5,0.01875,MCH25,RBS4,37.13333333333333,0.03717500468095143,mCherry,841.4166666666666,213.08333333333334
0.0,C6,0.01875,MCH75,RBS2,37.13333333333333,0.03147499759991963,mCherry,818.4166666666666,210.08333333333334
0.0,C8,0.01875,MCH75,RBS4,37.13333333333333,0.03227499624093373,mCherry,756.4166666666666,189.08333333333334
0.0,C9,0.01875,MCH25,RBS0.125,37.13333333333333,0.04207499821980794,mCherry,839.4166666666666,214.08333333333334
0.0,C10,0.01875,MCH10,RBS4,37.13333333333333,0.03457500537236531,mCherry,1446.4166666666667,359.0833333333333
0.0,C11,0.01875,MCH10,RBS0.5,37.13333333333333,0.03117500742276509,mCherry,721.4166666666666,185.08333333333334
0.0,D2,0.01875,MCH75,RBS0.5,37.13333333333333,0.02857500811417897,mCherry,439.4166666666667,111.08333333333333
0.0,D4,0.01875,MCH50,RBS1,37.13333333333333,0.0303749938805898,mCherry,1272.4166666666667,316.0833333333333
0.0,D5,0.01875,MCH50,RBS4,37.13333333333333,0.029774998625119523,mCherry,930.4166666666666,243.08333333333334
0.0,D6,0.01875,MCH50,RBS0.125,37.13333333333333,0.0336750050385793,mCherry,1143.4166666666667,297.0833333333333
0.0,D7,0.01875,MCH10,RBS0.125,37.13333333333333,0.03137499590714772,mCherry,921.4166666666666,231.08333333333334
0.0,D8,0.01875,MCH25,RBS4,37.13333333333333,0.031574999292691544,mCherry,826.4166666666666,211.08333333333334
0.0,D9,0.01875,MCH75,RBS0.25,37.13333333333333,0.03567499419053395,mCherry,627.4166666666666,157.08333333333334
0.0,D10,0.01875,MCH10,RBS1,37.13333333333333,0.025975001355012253,mCherry,1837.4166666666667,452.0833333333333
0.0,D11,0.01875,MCH75,RBS2,37.13333333333333,0.02617499728997548,mCherry,814.4166666666666,207.08333333333334
0.0,E2,0.01875,MCH10,RBS0.5,37.13333333333333,0.04707500835259755,mCherry,740.4166666666666,179.08333333333334
0.0,E3,0.01875,MCH25,RBS0.125,37.13333333333333,0.04307500024636586,mCherry,913.4166666666666,224.08333333333334
0.0,E5,0.01875,MCH50,RBS4,37.13333333333333,0.037674998243649796,mCherry,981.4166666666666,238.08333333333334
0.0,E6,0.01875,MCH50,RBS0.25,37.13333333333333,0.038275008400281266,mCherry,900.4166666666666,232.08333333333334
0.0,E7,0.01875,MCH25,RBS0.25,37.13333333333333,0.038374995191891983,mCherry,790.4166666666666,197.08333333333334
0.0,E8,0.01875,MCH50,RBS1,37.13333333333333,0.03547500570615132,mCherry,1252.4166666666667,311.0833333333333
0.0,E10,0.01875,MCH75,RBS0.25,37.13333333333333,0.03217499454816182,mCherry,586.4166666666666,147.08333333333334
0.0,E11,0.01875,MCH50,RBS2,37.13333333333333,0.027475004394849137,mCherry,1187.4166666666667,298.0833333333333
0.0,F2,0.01875,MCH25,RBS0.5,37.13333333333333,0.03317499657471974,mCherry,730.4166666666666,191.08333333333334
0.0,F3,0.01875,MCH25,RBS1,37.13333333333333,0.03457500537236531,mCherry,1088.4166666666667,270.0833333333333
0.0,F4,0.01875,MCH10,RBS2,37.13333333333333,0.037375008066495255,mCherry,1281.4166666666667,317.0833333333333
0.0,F5,0.01875,MCH50,RBS0.5,37.13333333333333,0.03137499590714772,mCherry,789.4166666666666,200.08333333333334
0.0,F6,0.01875,MCH75,RBS0.125,37.13333333333333,0.03177500267823537,mCherry,548.4166666666666,139.08333333333334
0.0,F7,0.01875,MCH25,RBS2,37.13333333333333,0.02937500675519307,mCherry,978.4166666666666,245.08333333333334
0.0,F11,0.01875,MCH10,RBS0.25,37.13333333333333,0.029075001676877335,mCherry,1142.4166666666667,277.0833333333333
0.0,G3,0.01875,MCH75,RBS1,37.13333333333333,0.033274998267491654,mCherry,720.4166666666666,176.08333333333334
0.0,G4,0.01875,MCH10,RBS4,37.13333333333333,0.04307500024636586,mCherry,1404.4166666666667,357.0833333333333
0.0,G5,0.01875,MCH50,RBS0.5,37.13333333333333,0.04057500263055165,mCherry,740.4166666666666,183.08333333333334
0.0,G6,0.01875,MCH75,RBS4,37.13333333333333,0.03707500298817952,mCherry,738.4166666666666,188.08333333333334
0.0,G7,0.01875,MCH10,RBS0.25,37.13333333333333,0.03547500570615132,mCherry,1069.4166666666667,268.0833333333333
