time,well,iptg,strain,rbs,temp,OD600,fluor,GFP_high,GFP_low
900.0,B6,0.01875,GFP25,RBS4,37.13333333333333,0.028949996456503868,GFP,1739.0,10.833333333333334
900.0,B7,0.01875,GFP25,RBS1,37.13333333333333,0.025449996814131737,GFP,1811.0,10.833333333333334
900.0,B9,0.01875,GFP25,RBS0.5,37.13333333333333,0.02984999679028988,GFP,2164.0,13.833333333333334
900.0,B11,0.01875,GFP10,RBS0.5,37.13333333333333,0.029550006613135338,GFP,1670.0,10.833333333333334
900.0,C2,0.01875,GFP10,RBS1,37.13333333333333,0.030050000175833702,GFP,2033.0,11.833333333333334
900.0,C3,0.01875,GFP75,RBS0.25,37.13333333333333,0.030549993738532066,GFP,3574.0,21.833333333333332
900.0,C4,0.01875,GFP10,RBS2,37.13333333333333,0.030649995431303978,GFP,2784.0,16.833333333333332
900.0,C5,0.01875,GFP25,RBS2,37.13333333333333,0.025949997827410698,GFP,1995.0,12.833333333333334
900.0,C6,0.01875,GFP10,RBS1,37.13333333333333,0.02994999848306179,GFP,2011.0,11.833333333333334
900.0,C7,0.01875,GFP75,RBS2,37.13333333333333,0.028849994763731956,GFP,2707.0,15.833333333333334
900.0,C8,0.01875,GFP25,RBS0.25,37.13333333333333,0.03395000658929348,GFP,2217.0,12.833333333333334
900.0,C9,0.01875,GFP50,RBS0.5,37.13333333333333,0.030649995431303978,GFP,3050.0,19.833333333333332
900.0,C10,0.01875,GFP10,RBS0.125,37.13333333333333,0.031150003895163536,GFP,1809.0,10.833333333333334
900.0,D2,0.01875,GFP75,RBS0.125,37.13333333333333,0.02904999814927578,GFP,3233.0,19.833333333333332
900.0,D3,0.01875,GFP75,RBS4,37.13333333333333,0.020749999210238457,GFP,2247.0,13.833333333333334
900.0,D4,0.01875,GFP50,RBS0.125,37.13333333333333,0.027650004252791405,GFP,3358.0,19.833333333333332
900.0,D5,0.01875,GFP50,RBS0.125,37.13333333333333,0.029749995097517967,GFP,3404.0,20.833333333333332
900.0,D6,0.01875,GFP10,RBS0.125,37.13333333333333,0.031349992379546165,GFP,1920.0,10.833333333333334
900.0,D7,0.01875,GFP50,RBS0.25,37.13333333333333,0.0316499974578619,GFP,3105.0,19.833333333333332
900.0,D8,0.01875,GFP10,RBS4,37.13333333333333,0.029450004920363426,GFP,1219.0,6.833333333333334
900.0,D9,0.01875,GFP25,RBS0.125,37.13333333333333,0.028849994763731956,GFP,2249.0,13.833333333333334
900.0,D10,0.01875,GFP75,RBS2,37.13333333333333,0.027750005945563316,GFP,2717.0,15.833333333333334
900.0,E2,0.01875,GFP10,RBS0.25,37.13333333333333,0.028450002893805504,GFP,1467.0,7.833333333333334
900.0,E3,0.01875,GFP25,RBS4,37.13333333333333,0.02644999884068966,GFP,1884.0,11.833333333333334
900.0,E5,0.01875,GFP50,RBS2,37.13333333333333,0.03215000592172146,GFP,3357.0,20.833333333333332
900.0,E8,0.01875,GFP50,RBS2,37.13333333333333,0.02745000086724758,GFP,3408.0,20.833333333333332
900.0,E9,0.01875,GFP25,RBS1,37.13333333333333,0.025350002571940422,GFP,1922.0,10.833333333333334
900.0,E11,0.01875,GFP10,RBS4,37.13333333333333,0.027650004252791405,GFP,1136.0,6.833333333333334
900.0,F2,0.01875,GFP75,RBS1,37.13333333333333,0.026650002226233482,GFP,2781.0,16.833333333333332
900.0,F3,0.01875,GFP75,RBS1,37.13333333333333,0.026749996468424797,GFP,2808.0,16.833333333333332
900.0,F5,0.01875,GFP25,RBS0.25,37.13333333333333,0.03074999712407589,GFP,2310.0,14.833333333333334
900.0,F6,0.01875,GFP50,RBS1,37.13333333333333,0.02984999679028988,GFP,2736.0,17.833333333333332
900.0,F8,0.01875,GFP75,RBS4,37.13333333333333,0.02615000121295452,GFP,2255.0,13.833333333333334
900.0,F9,0.01875,GFP10,RBS0.5,37.13333333333333,0.031150003895163536,GFP,1776.0,9.833333333333334
900.0,F10,0.01875,GFP75,RBS0.25,37.13333333333333,0.030649995431303978,GFP,3511.0,21.833333333333332
900.0,F11,0.01875,GFP75,RBS0.5,37.13333333333333,0.027550002560019493,GFP,2184.0,13.833333333333334
900.0,G3,0.01875,GFP50,RBS4,37.13333333333333,0.029350003227591515,GFP,2659.0,15.833333333333334
900.0,G4,0.01875,GFP75,RBS0.5,37.13333333333333,0.029649993404746056,GFP,2304.0,15.833333333333334
900.0,G5,0.01875,GFP50,RBS1,37.13333333333333,0.02904999814927578,GFP,2725.0,16.833333333333332
900.0,G6,0.01875,GFP50,RBS0.5,37.13333333333333,0.029749995097517967,GFP,3194.0,20.833333333333332
900.0,G7,0.01875,GFP10,RBS2,37.13333333333333,0.03305000625550747,GFP,2812.0,16.833333333333332
900.0,G8,0.01875,GFP25,RBS0.125,37.13333333333333,0.029450004920363426,GFP,2218.0,12.833333333333334
900.0,G9,0.01875,GFP75,RBS0.125,37.13333333333333,0.030150001868605614,GFP,3214.0,19.833333333333332
900.0,G10,0.01875,GFP50,RBS4,37.13333333333333,0.02644999884068966,GFP,2564.0,15.833333333333334
900.0,G11,0.01875,GFP25,RBS0.5,37.13333333333333,0.029749995097517967,GFP,2075.0,12.833333333333334
1800.0,B2,0.01875,GFP25,RBS2,37.1,0.03544167118767898,GFP,1920.5,11.5
