Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,12/28/2023,,,,,,,,
Time:,1:09:03 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
Temp. [°C],37.2,37,37.3,37.1,37,37,36.9,37,37.1
B2,0.193599998950958,0.186100006103516,0.184300005435944,0.184799998998642,0.194000005722046,0.210500001907349,0.240199998021126,0.282700002193451,0.338299989700317
B3,0.172999992966652,0.167199999094009,0.167300000786781,0.169200003147125,0.174500003457069,0.18299999833107,0.196700006723404,0.216100007295609,0.246999993920326
B4,0.184300005435944,0.18129999935627,0.179299995303154,0.181500002741814,0.190999999642372,0.208700001239777,0.237399995326996,0.280200004577637,0.33610001206398
B5,0.193499997258186,0.191899999976158,0.18970000743866,0.191899999976158,0.203099995851517,0.224900007247925,0.259700000286102,0.31139999628067,0.362199991941452
B6,0.206799998879433,0.202199995517731,0.199499994516373,0.201499998569489,0.212500005960464,0.234400004148483,0.268700003623962,0.319700002670288,0.369500011205673
B7,0.194700002670288,0.186499997973442,0.18469999730587,0.18809999525547,0.19930000603199,0.220400005578995,0.253100007772446,0.303400009870529,0.352800011634827
B8,0.093699999153614,0.0929000005126,0.0920000001788139,0.0917999967932701,0.0917000025510788,0.0930000022053719,0.0926999971270561,0.0917999967932701,0.0931999981403351
C2,0.211500003933907,0.195099994540215,0.192100003361702,0.19539999961853,0.210299998521805,0.235599994659424,0.276600003242493,0.33610001206398,0.386900007724762
C3,0.203099995851517,0.197899997234344,0.193599998950958,0.195800006389618,0.208599999547005,0.235200002789497,0.275700002908707,0.335399985313416,0.386700004339218
C4,0.190099999308586,0.187999993562698,0.184900000691414,0.185699999332428,0.196600005030632,0.218199998140335,0.251199990510941,0.300799995660782,0.357199996709824
C5,0.197699993848801,0.195600003004074,0.19200000166893,0.192200005054474,0.202399998903275,0.220100000500679,0.252499997615814,0.303400009870529,0.361400008201599
C6,0.20720000565052,0.194900006055832,0.191499993205071,0.19370000064373,0.206300005316734,0.228499993681908,0.265500009059906,0.323000013828278,0.373100012540817
C7,0.203299999237061,0.191799998283386,0.18809999525547,0.192800000309944,0.206400007009506,0.234899997711182,0.276899993419647,0.337999999523163,0.389200001955032
C8,0.0917000025510788,0.0916000008583069,0.0913000032305718,0.0913000032305718,0.0913000032305718,0.091499999165535,0.091499999165535,0.091899998486042,0.091499999165535
D2,0.19760000705719,0.194700002670288,0.191899999976158,0.194900006055832,0.206000000238419,0.226899996399879,0.260899990797043,0.312599986791611,0.363900005817413
D3,0.196899995207787,0.190699994564056,0.187199994921684,0.18979999423027,0.200399994850159,0.220100000500679,0.252999991178513,0.301400005817413,0.351799994707108
D4,0.185100004076958,0.183400005102158,0.178599998354912,0.180899992585182,0.18970000743866,0.206699997186661,0.232700005173683,0.26800000667572,0.314599990844727
D5,0.203099995851517,0.201299995183945,0.197699993848801,0.198699995875359,0.207499995827675,0.22859999537468,0.263099998235703,0.312000006437302,0.363000005483627
D6,0.20720000565052,0.201299995183945,0.198300004005432,0.200299993157387,0.209600001573563,0.229100003838539,0.260600000619888,0.307700008153915,0.356900006532669
D7,0.200100004673004,0.191899999976158,0.189300000667572,0.192499995231628,0.203500002622604,0.224600002169609,0.259400010108948,0.311599999666214,0.360700011253357
D8,0.0939999967813492,0.0939999967813492,0.0935000032186508,0.0935000032186508,0.0934000015258789,0.0934000015258789,0.0934000015258789,0.0934000015258789,0.0935000032186508
E2,0.202199995517731,0.194700002670288,0.191200003027916,0.194900006055832,0.213699996471405,0.247500002384186,0.296499997377396,0.359100013971329,0.406699985265732
E3,0.195199996232986,0.189099997282028,0.184599995613098,0.186299994587898,0.199399992823601,0.225500002503395,0.264400005340576,0.319799989461899,0.36710000038147
E4,0.192300006747246,0.188400000333786,0.18469999730587,0.188400000333786,0.202500000596046,0.231600001454353,0.268900007009506,0.320899993181229,0.365099996328354
E5,0.206200003623962,0.200399994850159,0.198400005698204,0.201299995183945,0.216999992728233,0.248600006103516,0.296200007200241,0.354000002145767,0.406599998474121
E6,0.201700001955032,0.195299997925758,0.192399993538857,0.193800002336502,0.207000002264977,0.233799993991852,0.274699985980988,0.330900013446808,0.374399989843369
E7,0.1824000030756,0.176499992609024,0.174400001764297,0.17339999973774,0.177799999713898,0.186199992895126,0.199799999594688,0.218700006604195,0.247299998998642
E8,0.0912000015377998,0.0916000008583069,0.0916000008583069,0.0920000001788139,0.0913999974727631,0.091499999165535,0.0917999967932701,0.0917000025510788,0.0917000025510788
,,,,,,,,,
,,,,,,,,,
End Time:,,,,,,,,,
