Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,12/21/2023,,,,,,,,
Time:,1:41:23 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
B3,0.292400002479553,0.277900010347366,0.274899989366531,0.277700006961823,0.287800014019012,0.30689999461174,0.336199998855591,0.381999999284744,0.42739999294281
B4,0.281800001859665,0.271600008010864,0.273900002241135,0.280900001525879,0.296099990606308,0.317099988460541,0.351099997758865,0.389999985694885,0.438800007104874
B5,0.302500009536743,0.279300004243851,0.276699990034103,0.277999997138977,0.284900009632111,0.296499997377396,0.316300004720688,0.344500005245209,0.384099990129471
B6,0.305099993944168,0.29109999537468,0.290899991989136,0.29339998960495,0.30129998922348,0.316900014877319,0.341800004243851,0.379400014877319,0.421600013971329
B7,0.29109999537468,0.280800014734268,0.284299999475479,0.291799992322922,0.305999994277954,0.330300003290176,0.364600002765656,0.404000014066696,0.452699989080429
B8,0.11370000243187,0.124899998307228,0.125400006771088,0.124399997293949,0.125400006771088,0.125400006771088,0.125300005078316,0.124499998986721,0.124399997293949
C2,0.289700001478195,0.269300013780594,0.266400009393692,0.266799986362457,0.276399999856949,0.295399993658066,0.327699989080429,0.374399989843369,0.42179998755455
C3,0.292600005865097,0.271100014448166,0.266499996185303,0.26690000295639,0.276800006628037,0.296000003814697,0.326299995183945,0.372000008821487,0.421700000762939
C4,0.289400011301041,0.285199999809265,0.28439998626709,0.286399990320206,0.297199994325638,0.317999988794327,0.350100010633469,0.397100001573563,0.443199992179871
C5,0.307399988174439,0.284799993038178,0.287000000476837,0.290399998426437,0.303099989891052,0.323300004005432,0.360500007867813,0.410400003194809,0.456699997186661
C6,0.296099990606308,0.277700006961823,0.274399995803833,0.276300013065338,0.286700010299683,0.308299988508225,0.341500014066696,0.390899986028671,0.438400000333786
C7,0.322899997234345,0.306600004434586,0.304199993610382,0.303000003099442,0.3158999979496,0.338099986314774,0.375600010156631,0.427199989557266,0.472499996423721
C8,0.105999998748302,0.100500002503395,0.100000001490116,0.103900000452995,0.100900001823902,0.101400002837181,0.101000003516674,0.103500001132488,0.103699997067451
D2,0.287099987268448,0.269199997186661,0.274100005626678,0.273900002241135,0.279599994421005,0.289499998092651,0.309700012207031,0.33950001001358,0.381500005722046
D3,0.306800007820129,0.298599988222122,0.291799992322922,0.298400014638901,0.305200010538101,0.323399990797043,0.347400009632111,0.384099990129471,0.42969998717308
D4,0.319900006055832,0.30009999871254,0.301800012588501,0.300900012254715,0.310000002384186,0.326700001955032,0.356599986553192,0.399100005626678,0.446399986743927
D5,0.297300010919571,0.289799988269806,0.288100004196167,0.288700014352798,0.296299993991852,0.309199988842011,0.334600001573563,0.368900001049042,0.413800001144409
D6,0.304100006818771,0.278400003910065,0.277200013399124,0.280099987983704,0.290899991989136,0.314599990844727,0.34689998626709,0.395099997520447,0.442400008440018
D7,0.300700008869171,0.30009999871254,0.297699987888336,0.294900000095367,0.307300001382828,0.32490000128746,0.352100014686585,0.400200009346008,0.443500012159348
D8,0.102200001478195,0.103100001811981,0.103399999439716,0.102799996733665,0.103000000119209,0.102700002491474,0.102700002491474,0.10249999910593,0.102700002491474
E2,0.278499990701675,0.273799985647202,0.273999989032745,0.277099996805191,0.285699993371964,0.298900008201599,0.321399986743927,0.354999989271164,0.39410001039505
E3,0.31020000576973,0.296400010585785,0.296499997377396,0.297500014305115,0.303999990224838,0.314999997615814,0.334100008010864,0.362399995326996,0.402300000190735
E4,0.306600004434586,0.29339998960495,0.291000008583069,0.293799996376038,0.307300001382828,0.332800000905991,0.371699988842011,0.424499988555908,0.475600004196167
E5,0.293799996376038,0.282200008630753,0.279199987649918,0.278200000524521,0.28600001335144,0.302599996328354,0.331000000238419,0.370400011539459,0.417699992656708
E6,0.3091000020504,0.293999999761581,0.289400011301041,0.289499998092651,0.299600005149841,0.318599998950958,0.350699990987778,0.394800007343292,0.442699998617172
E7,0.299199998378754,0.283499985933304,0.278499990701675,0.278200000524521,0.287699997425079,0.307000011205673,0.340499997138977,0.384999990463257,0.4307000041008
E8,0.115299999713898,0.113200001418591,0.112999998033047,0.118400000035763,0.115000002086163,0.11710000038147,0.117499999701977,0.119000002741814,0.118699997663498
,,,,,,,,,
,,,,,,,,,
End Time:,,,,,,,,,
